1;2_x
'Cesca;Upper West Side
'sNice;West Village
(Le) Poisson Rouge;nan
1 Dominick;Soho
10 Downing Food & Wine;West Village
10 Hudson Square;nan
107 West;Wash Hts/Inwood
107 West;Upper West Side
123 Burger Shot Beer;nan
1492 Food;Lower East Side
15 East;Union Square
17 Bleecker;East Village
2 Bros. Pizza;East Village
2 West;Battery Park City
202;Chelsea
212 Restaurant and Bar;Upper East Side
24 Prince;Nolita
26 Seats;East Village
2Eat@Saks;Midtown East
2nd Avenue Deli;Murray Hill/Kips Bay
38th Street Restaurant & Bakery;Midtown West
40 Carrots;Upper East Side
41 Greenwich Avenue;West Village
44 & X Hell's Kitchen;Hell's Kitchen
5 Ninth;Meatpacking District
508;nan
71 Irving Place Coffee & Tea Bar;Gramercy
77493;Times Square
7A;East Village
809 Sangria Bar & Grill;Wash Hts/Inwood
88 Orchard;Lower East Side
88 Palace;Lower East Side
99 miles to philly;West Village
99¢ Fresh Pizza;Midtown East
A;nan
A Casa Fox;Lower East Side
A La Turka;Upper East Side
A Salt & Battery;West Village
A Voce;Flatiron
A.O.C. Bedford;West Village
A.O.C., (l’Ail ou la Cuisse);West Village
ACME Bar & Grill;East Village
AJ Maxwell's;Midtown West
AQ Café;Murray Hill/Kips Bay
AQ Kafé;Upper West Side
Abboccato;Midtown West
Abbondanza's;West Village
Above;Times Square
Abraço;East Village
Aburiya Kinnosuke;Midtown East
Acappella;Tribeca
Accademia di Vino;Upper East Side
Aceluck;Hell's Kitchen
Acqua;Upper West Side
Adour Alain Ducasse;Midtown East
Adriatic;nan
Adrienne's Pizza Bar;Financial/Battery Pk
Adä;Midtown East
Afghan Kebab House II;nan
Africa Kine Restaurant;Harlem
Agave;West Village
Ago;Tribeca
Agozar!;East Village
Ah! Chihuahua's;Midtown East
Aja Asian Bistro & Lounge;Midtown East
Aji Sushi;Murray Hill/Kips Bay
Ajisen Noodle;Chinatown
Akane;nan
Akdeniz Turkish Cuisine;Midtown West
Aki;West Village
Aki Sushi;Upper East Side
Al Baraka;Upper East Side
Al Bustan;Midtown East
Al Forno Pizzeria;Upper East Side
Alan's Falafel;Financial/Battery Pk
Alcala;Midtown East
Aldea;nan
Aleo;Flatiron
Alexandra;West Village
Alfama;West Village
Alfanoose;Financial/Battery Pk
Alfredo of Rome;Midtown West
Alias Restaurant;Lower East Side
Alibaba;Upper West Side
Alidoro;Soho
All Natural Hot Mini Cakes;Lower East Side
Allegretti;Flatiron
Allen & Delancey;Lower East Side
Alloro;Upper East Side
Aloe;East Village
Alonso's Steakhouse;Chelsea
Alouette;Upper West Side
Alta;West Village
Alto;Midtown East
Ama;Soho
Amalia;Midtown East
Amaranth;Upper East Side
Amarone Ristorante;Hell's Kitchen
Amazing 66;Chinatown
Ambassador Grill;Midtown East
Amber;Upper West Side
Amelia's Diner;Soho
American Grill;East Village
Amir's Falafel;nan
Amma;Midtown East
Ammos Estiatorio;Midtown East
Amsterdam Restaurant and Tapas Lounge;Morningside Hts
Amy Ruth's Home-Style Southern Cuisine;Harlem
An American Place;Murray Hill/Kips Bay
Ancora;nan
Andreas' Brick Oven Ristorante;Gramercy
Angelica Kitchen;East Village
Angelo & Maxie's Steakhouse;Gramercy
Angelo of Mulberry St.;Little Italy
Angelo's Coal Oven Pizza;Midtown East
Angelo's Coal Oven Pizza;Midtown West
Angelo's Pizzeria;Midtown West
Angon on the Sixth;East Village
Angus McIndoe;Times Square
Annisa;West Village
Anthos;Midtown West
Antica Venezia Ristorante;Chelsea
Antique Garage;Soho
Antonucci;Upper East Side
Aperitivo;nan
Apiary;East Village
Appetito Ristorante;Midtown West
Apple Restaurant;West Village
Aquagrill;Soho
Aquamarine;nan
Aquavit;Midtown East
Arabelle Restaurant;Upper East Side
Ariana Afghan Kebab House;Hell's Kitchen
Arium;Meatpacking District
Ariyoshi;Midtown East
Arno Ristorante;Midtown West
Aroma;East Village
Arqua;Tribeca
Arriba Arriba;Hell's Kitchen
Arte Café;Upper West Side
Artepasta;West Village
Artichoke Basille's Pizza & Brewery;East Village
Artie's Delicatessen;Upper West Side
Artisanal;Murray Hill/Kips Bay
Arturo's;West Village
Arté;West Village
Ashkara;Lower East Side
Asia Kan;nan
Asia Roma;Chinatown
Asia de Cuba;Murray Hill/Kips Bay
Asiana;nan
Asiate;Upper West Side
Aspen;Flatiron
Astor Court;Midtown East
Astra;Midtown East
At Vermilion;Midtown East
Atlantic Grill;Upper East Side
Atlas Café;East Village
Atrium Cafe;Midtown East
Au Mandarin;Financial/Battery Pk
August;West Village
Aura;Hell's Kitchen
Aureole;Upper East Side
Aurora Soho;Soho
Avenue A Sushi;East Village
Avon Bistro;Midtown East
Avra Estiatorio;Midtown East
Awash;Upper West Side
Awash;East Village
Azalea;Times Square
Azuki Sushi;Gramercy
Azul;Lower East Side
Azuri Cafe;Hell's Kitchen
Azza;Midtown East
B&H;East Village
B-Bap Fusion Rice Bar;nan
B. Café;Upper East Side
B. Smith's;Hell's Kitchen
B.B. King Blues Club & Grill;Times Square
BB Sandwich Bar;West Village
BBQ Chicken;East Village
BG;Midtown East
BLT Burger;West Village
BLT Fish;Union Square
BLT Market;Midtown West
BLT Prime;Gramercy
BLT Steak;Midtown East
BONDST;East Village
BXL Cafe;Times Square
Babbo;West Village
Baby Buddha;West Village
Bacaro;Lower East Side
Back Forty;East Village
Bagel Bob's;West Village
Bagel Buffet;West Village
Bagicha;nan
Baldoria;Times Square
Bali Nusa Indah;Hell's Kitchen
Ballato;East Village
Balthazar;Soho
Bamboleo;West Village
Bamboo 52;Hell's Kitchen
Bamiyan;Gramercy
Bamn!;East Village
Banc Café;Murray Hill/Kips Bay
Banjara;East Village
Bann;Hell's Kitchen
Bao Noodles;Gramercy
Baoguette;Gramercy
Bar 515;Murray Hill/Kips Bay
Bar 6;West Village
Bar 89;Soho
Bar Americain;Times Square
Bar Bao;nan
Bar Blanc;West Village
Bar Boulud;Upper West Side
Bar Breton;Murray Hill/Kips Bay
Bar Centrale;Hell's Kitchen
Bar Jamón;Gramercy
Bar Martignetti;Little Italy
Bar Masa;Upper West Side
Bar Milano;Gramercy
Bar Pitti;West Village
Bar Stuzzichini;Flatiron
Bar Veloce;East Village
Bar Veloce;Chelsea
Bar-K;West Village
BarBossa;Nolita
Baraonda;Upper East Side
Barbarini Alimentari;Financial/Battery Pk
Barbetta;Hell's Kitchen
Barbounia;Flatiron
Barbuto;West Village
Barbès;Murray Hill/Kips Bay
Barking Dog;Upper East Side
Barking Dog;Murray Hill/Kips Bay
Barna;Gramercy
Barney Greengrass;Upper West Side
Barolo;Soho
Basera;Hell's Kitchen
Basta Pasta;Union Square
Bateaux New York;Chelsea
Battery Gardens;Financial/Battery Pk
Bay Leaf;Midtown West
Bayan Café;Midtown East
Beach Street Eatery;Tribeca
Beacon;Midtown West
Becco;Hell's Kitchen
Beer Bar;Midtown East
Belcourt;East Village
Bella Blu;Upper East Side
Bella Luna;Upper West Side
Bellavitae;West Village
Bello;Hell's Kitchen
Bello Giardino;Upper West Side
Bello Sguardo;Upper West Side
Ben & Jack's Steak House;Midtown East
Ben Benson's Steak House;Times Square
Ben's Kosher Delicatessen Restaurant;Midtown West
Ben's Pizza;nan
Bengal Cafe;Morningside Hts
Benihana;Midtown West
Benjamin Steak House;Midtown East
Benny's Burritos;East Village
Benny's Burritos (West);West Village
Benoit;Midtown West
Beppe;Flatiron
Bereket;Lower East Side
Berger's On The Go;Murray Hill/Kips Bay
Berrywild;Murray Hill/Kips Bay
Bette;Chelsea
Better Burger;Chelsea
Better Burger;Murray Hill/Kips Bay
Bettola;Upper West Side
Beyoglu;Upper East Side
BiCE;Midtown East
Bianca;East Village
Big Daddy's Diner;Gramercy
Big Enchilada;West Village
Big Nick's Burger and Pizza Joint;Upper West Side
Big Wong King;Chinatown
Bin 71;Upper West Side
Biricchino;W. 20s
Bis.Co.Latte;Hell's Kitchen
Bistecca Fiorentina;Hell's Kitchen
Bistro 60;Upper East Side
Bistro Bagatelle;Meatpacking District
Bistro Desaret;Midtown East
Bistro Le Steak;Upper East Side
Bistro Les Amis;Soho
Bistro Ten 18;Morningside Hts
Bistro du Nord;Upper East Side
Bistrouge;East Village
Black Pearl;East Village
BlackFinn Bar & Restaurant;Midtown East
Blake & Todd;Midtown West
Blaue Gans;Tribeca
Bleecker Street Pizza;West Village
Bloomingdale Road;Upper West Side
Bloom’s Delicatessen;Murray Hill/Kips Bay
Blossom;Chelsea
Blue 9 Burger;East Village
Blue Fin;Times Square
Blue Hill;West Village
Blue Note;West Village
Blue Ribbon Bakery;West Village
Blue Ribbon Bakery Market;West Village
Blue Ribbon Bar;West Village
Blue Ribbon Brasserie;Soho
Blue Ribbon Sushi;Soho
Blue Ribbon Sushi Bar & Grill;Hell's Kitchen
Blue Smoke;Gramercy
Blue Water Grill;Union Square
Bo Ky;Chinatown
Bobo;West Village
Boca Chica;East Village
Bocca;Flatiron
Bocca di Bacco;Hell's Kitchen
Bodrum;Upper West Side
Bodum Cafe;Chelsea
Bombay Grill;Murray Hill/Kips Bay
Bombay Palace;Midtown West
Bombay Talkie;Chelsea
Bon Chon Chicken;Murray Hill/Kips Bay
Bond 45;Times Square
Bondi Road;Lower East Side
Bone Lick Park;West Village
Bongo;Chelsea
Bonjoo Restaurant;East Village
Bonobo's Vegetarian;Flatiron
Bonsignour;West Village
Boom;Soho
Boqueria;Soho
Boqueria;Flatiron
Borgo Antico;West Village
Bottega del Vino;Upper East Side
Bottino;Chelsea
Boucarou;East Village
Bouchon Bakery;Upper West Side
Bouley;Tribeca
Bourbon Street Bar and Grill;Hell's Kitchen
Bourbon Street Southern Gourmet Pantry;West Village
Boyd Thai;West Village
Brasserie;Midtown East
Brasserie 360;Upper East Side
Brasserie 44;Midtown West
Brasserie 52;Hell's Kitchen
Brasserie 8 1/2;Midtown West
Brasserie Julien;Upper East Side
Brasserie Les Halles;Murray Hill/Kips Bay
Brasserie Les Halles Downtown;Financial/Battery Pk
Brasserie Maison;Midtown West
Brasserie Ruhlmann;Midtown West
Bravo Gianni;Upper East Side
Bread;Nolita
Bread & Pastry Café;West Village
Bread Bar;Flatiron
Bread Market Cafe;Midtown West
Bread Tribeca;Tribeca
Bricco;Hell's Kitchen
Brick Lane Curry House;East Village
Bridge Café;Financial/Battery Pk
Brio;Upper East Side
Broadway East;Lower East Side
Broadway's Jerusalem II;Midtown West
Brooklyn Diner U.S.A.;Midtown West
Brooklyn Diner U.S.A.;Times Square
Brother Jimmy's BBQ;Midtown West
Bruno Jamais Restaurant Club;Upper East Side
Bruschetteria;Lower East Side
BrushStroke;nan
Bryant Park Grill;Midtown West
Bubba Gump Shrimp Co.;Times Square
Bubby's;nan
Bubby’s;Tribeca
Buddakan;Chelsea
Buddha BBeeQ;Upper East Side
Buenos Aires;East Village
Bukhara Grill;Midtown East
Bull & Bear;Midtown East
Bull Run;Financial/Battery Pk
Bully's;West Village
Bun;Soho
Bunchberries;Midtown East
Buona Sera Restaurant;West Village
Burger Joint;Midtown West
Burger Shoppe;Financial/Battery Pk
Burgers & Cupcakes;Hell's Kitchen
Burrito Loco;West Village
Bus Stop Cafe;West Village
Butai;Gramercy
Butcher Bay;nan
Butter;East Village
Buzina Pop;Upper East Side
Byblos;Murray Hill/Kips Bay
Bánh Mì Saigon Bakery;Little Italy
Bôi;Midtown East
Bôi to Go;Midtown East
Cabana;Upper East Side
Cabo Rojo;Chelsea
Cabrito;nan
Cacio e Pepe;East Village
Cacio e Vino;East Village
Cafe Amore's;nan
Cafe Asean;West Village
Cafe Bari;Soho
Cafe Brama;East Village
Cafe Centro;Midtown East
Cafe Cluny;West Village
Cafe Colonial;Nolita
Cafe Edison;Times Square
Cafe Gitane;Nolita
Cafe Himalaya;East Village
Cafe Lalo;Upper West Side
Cafe Luka;Upper East Side
Cafe Mogador;East Village
Cafe Rakka;East Village
Cafe Ronda;Upper West Side
Cafe Socialista;West Village
Cafe Viva;Upper West Side
Cafe el Portal;Nolita
Cafecito;East Village
Cafetasia;West Village
Cafeteria;Chelsea
Caffe Buon Gusto;Upper East Side
Caffe Cielo;Hell's Kitchen
Caffe Dante;West Village
Caffe Falai;Nolita
Caffe Grazie;Upper East Side
Caffe Reggio;West Village
Caffe Swish;Morningside Hts
Caffe Torino;West Village
Caffè Emilia;East Village
Caffè Pane e Cioccolato;West Village
Caffè del Mare;West Village
Caffé Linda;Midtown East
Café 2;Midtown West
Café Andalucia;Hell's Kitchen
Café Angelique;nan
Café Boulud;Upper East Side
Café Café;Soho
Café Cello;Midtown West
Café Centosette;East Village
Café Condesa;West Village
Café Cortadito;East Village
Café Deville;East Village
Café Español;West Village
Café Evergreen;Upper East Side
Café Fiorello;Upper West Side
Café Frida;Upper West Side
Café Greco;Upper East Side
Café Grumpy;Chelsea
Café Habana;Nolita
Café Henri;West Village
Café Joul;Midtown East
Café K;Midtown East
Café Katja;Lower East Side
Café Largo;Harlem
Café Loup;West Village
Café Luxembourg;Upper West Side
Café Mingala;Upper East Side
Café Noir;Soho
Café Orlin;East Village
Café Pick Me Up;East Village
Café Pierre;Upper East Side
Café Sabarsky;Upper East Side
Café Select;Soho
Café Spice;West Village
Café Spice;Midtown East
Café Un Deux Trois;Times Square
Café con Leche;Upper West Side
Café d'Alsace;Upper East Side
Café de Bruxelles;West Village
Café des Artistes;Upper West Side
Café du Soleil;Upper West Side
Calcutta;East Village
Calexico;Soho
Caliente Cab Co.;Murray Hill/Kips Bay
Caliente Cab Co.;West Village
California Pizza Deli Falafel;West Village
California Pizza Kitchen;Upper East Side
California Pizza Kitchen;Murray Hill/Kips Bay
Calle Ocho;Upper West Side
Camaje Bistro and Lounge;West Village
Camaradas El Barrio;Spanish Harlem
Campagnola;Upper East Side
Campo;Morningside Hts
Campus Eatery;West Village
Canaletto;Upper East Side
Candle 79;Upper East Side
Candle Café;Upper East Side
Cannonau;East Village
Canyon Road;Upper East Side
Capri Caffé;Tribeca
Capsouto Frères;Tribeca
Capucine's Restaurant;Gramercy
Cara Mia;Hell's Kitchen
Caracas Arepa Bar;East Village
Caravan of Dreams;East Village
Carl's Steaks;Tribeca
Carl's Steaks;Murray Hill/Kips Bay
Carlyle Restaurant;Upper East Side
Carmine's;Times Square
Carmine's;Upper West Side
Carmine's;Financial/Battery Pk
Carnegie Deli;Midtown West
Carnegie John's;Midtown West
Carve Unique Sandwiches;Times Square
Casa;West Village
Casa Adela;East Village
Casa Havana;Chelsea
Casa Mono;Gramercy
Casanis;Lower East Side
Casaville;Murray Hill/Kips Bay
Cascina;Hell's Kitchen
Casellula Cheese & Wine Café;Hell's Kitchen
Casimir;East Village
Catch de Fish;Gramercy
Caviar Russe;Midtown East
Celeste;Upper West Side
Cendrillon;Soho
Center Stage Café;Times Square
Centolire;Upper East Side
Centovini;Soho
Central Park Boathouse;Upper East Side
Centrico;Tribeca
Centro Vinoteca;West Village
Cercle Rouge;Tribeca
Chanoodle Express;Chinatown
Chanpen Thai;Hell's Kitchen
Chanterelle;Tribeca
Chanto;West Village
Charles St. Food;West Village
Charles' Southern Style Kitchen;nan
Charley O's;Times Square
Charley O's;Hell's Kitchen
Charlie Mom;West Village
Charlys;Financial/Battery Pk
Charm Thai;Upper West Side
Chat 'n Chew;Union Square
Chatham Square Restaurant;Chinatown
Chelsea Ristorante;Chelsea
Chelsea Square Restaurant;Chelsea
Chennai Garden;Gramercy
Cherin Sushi;East Village
Chez Brigitte;West Village
Chez Jacqueline;West Village
Chez Josephine;Hell's Kitchen
Chez Le Chef;Murray Hill/Kips Bay
Chez Napoléon;Hell's Kitchen
Chiam;Midtown East
Chicken Bar Pizza;West Village
Chickie Pig's;Lower East Side
Chickpea;East Village
ChikaLicious;East Village
Chimichurri Grill;Hell's Kitchen
Chin Chin;Midtown East
China 1;East Village
China Fun;Upper East Side
China Fun;Upper West Side
China Grill;Midtown West
China Regency;Midtown West
Chinatown Brasserie;East Village
Chinese Mirch;Murray Hill/Kips Bay
Chino’s;Gramercy
Chipotle;Union Square
Chipotle;Times Square
Chipotle;Murray Hill/Kips Bay
Chiyono;East Village
Cho Cho San Japanese Restaurant;West Village
Cho Dang Gol;Midtown West
Chocolate Bar;Midtown East
Choga;West Village
Chola;Midtown East
Choshi Japanese Restaurant;Gramercy
Chow Bar;West Village
Christopher Norman Chocolates;Financial/Battery Pk
Churrascaria Plataforma;Hell's Kitchen
Churrascaria Tribeca;Tribeca
Ciao Bella;Upper East Side
Ciao For Now;East Village
Cibo;Midtown East
Cilantro;Upper East Side
Cinema Café;Upper East Side
Cipriani Dolci;Midtown East
Cipriani Le Specialita;Midtown East
Cipriani Wall Street;Financial/Battery Pk
Circus;Upper East Side
Citrus;Upper West Side
City Crab & Seafood Company;Gramercy
City Diner;Upper West Side
City Girl Café;Soho
City Hall Restaurant;Tribeca
City Lobster & Crab Company;Times Square
Classic Coffee Shop;Lower East Side
Clinton St. Baking Co. & Restaurant;Lower East Side
Co.;nan
Cocktail Terrace;Midtown East
Coco Pazzo;Upper East Side
Col Legno;East Village
Colors;East Village
Columbia Cottage;Morningside Hts
Comfort Diner;Flatiron
Comfort Diner;Midtown East
Commerce;West Village
Community Food & Juice;Morningside Hts
Compass;Upper West Side
Concrete Tapas Bar & Lounge;nan
Cones;West Village
Cong Ly;Lower East Side
Congee;Lower East Side
Congee Village Restaurant & Bar;Lower East Side
Convivio;Midtown East
Coogan's Restaurant;Wash Hts/Inwood
Cookshop;Chelsea
Cooper's Tavern;Hell's Kitchen
Copper Chimney;Gramercy
Coppola's;Upper West Side
Coppola's East;Gramercy
Corio;Soho
Cornelia Street Café;West Village
Corner Shop Cafe;East Village
Cortina;Upper East Side
Corton;Tribeca
Cosette;Murray Hill/Kips Bay
Cosmic Cantina;East Village
Cosmic Diner;Times Square
Cosmopolitan Café;Tribeca
Cosmos Diner;Gramercy
Counter;East Village
Country;Murray Hill/Kips Bay
Country Café;Soho
Cowgirl;West Village
Cozy Soup 'n Burger;West Village
Craft;Flatiron
Craftbar;Flatiron
Craftsteak;Chelsea
Crave Ceviche Bar;Midtown East
Crema Restaurante;Chelsea
Crepe Creations;West Village
Crif Dogs;East Village
Crispo;West Village
Croton Reservoir Tavern;Midtown West
Cru;West Village
Crumbs;West Village
Crêpe Mania;Murray Hill/Kips Bay
Cuba;West Village
Cubana Café;0
Cube 63;Lower East Side
Cucina & Co.;Midtown East
Cucina Stagionale;West Village
Cucina di Pesce;East Village
Cup & Saucer;Lower East Side
Cupping Room Cafe;Soho
Curly's Vegetarian Lunch;East Village
Curry Leaf;Gramercy
Curry in a Hurry;Murray Hill/Kips Bay
Curry-Ya;nan
DB Bistro Moderne;Midtown West
Da Andrea;West Village
Da Antonio Ristorante;Midtown East
Da Ciro;Murray Hill/Kips Bay
Da Filippo;Upper East Side
Da Nico;Little Italy
Da Rosina;Hell's Kitchen
Da Silvano;West Village
Da Silvano Cantinetta;West Village
Da Umberto;Chelsea
Daisy May's BBQ USA;Hell's Kitchen
Dalga Seafood Grill;Upper East Side
Dallas Jones Bar-B-Q;West Village
Dan Japanese Restaurant;Upper West Side
Danal;East Village
Daniel;Upper East Side
Danku;Midtown West
Darbar;Midtown East
Darbar Grill;nan
Dave & Buster's;nan
David Burke Townhouse;nan
David Burke at Bloomingdale’s;Upper East Side
Dawat;Midtown East
Daydream;nan
De Santos;West Village
Dean's Family Style Restaurant and Pizzeria;Upper West Side
Dean's Family Style Restaurant and Pizzeria;Midtown East
Dean's Family Style Restaurant and Pizzeria;Tribeca
Deborah—Life Love Food;West Village
Defonte's;nan
Degustation Wine & Tasting Bar;East Village
Del Frisco's Double Eagle Steak House;Times Square
Del Posto;Chelsea
Delectica;Murray Hill/Kips Bay
Delicatessen;Nolita
Delicia Brazil;West Village
Delmonico Gourmet;Midtown East
Delmonico Gourmet;Upper East Side
Delmonico's;Financial/Battery Pk
Demarchelier;Upper East Side
Dennis Foy;Tribeca
Dessert Delivery;Midtown East
Destino;Midtown East
DiFiore Marquet;West Village
Diablo Royale;West Village
Diamond Dairy;Midtown West
Dieci;East Village
Dil-e Punjab;Chelsea
Dim Sum Go Go;Lower East Side
Dinosaur Bar-B-Que;Harlem
Dirt Candy;East Village
Dirty Bird To-Go;West Village
Dishes;Midtown East
District;Times Square
Ditch Plains;West Village
Diwan;Midtown East
Dizzy's Club Coca-Cola;Midtown West
Django;Midtown East
Djerdan;Midtown West
Do Hwa;West Village
DoSirak;West Village
Docks Oyster Bar & Seafood Grill;Midtown East
Docks Oyster Bar & Seafood Grill;Upper West Side
Dogmatic Dogs;nan
Dojo;West Village
Dok Suni's;East Village
Dolcino;Murray Hill/Kips Bay
Doma;West Village
Domenico's;Midtown East
Don Giovanni Ristorante;Hell's Kitchen
Don Giovanni Ristorante;Chelsea
Donald Sacks;Battery Park City
Donburiya;Midtown East
Donguri;Upper East Side
Donut Pub;Chelsea
Doo Zo;West Village
Double Crown;East Village
Dovetail;Upper West Side
Downtown Cipriani;Soho
Doyers Vietnamese Restaurant;Chinatown
Druids;Hell's Kitchen
Duane Park;Tribeca
Dublin 6;West Village
Due;Upper East Side
Due Amici;West Village
Duke's;Murray Hill/Kips Bay
Dumpling House;Lower East Side
Dumpling Man;East Village
Dylan Prime;Tribeca
Dylan's Candy Bar;Upper East Side
Dévi;Union Square
EJ's Luncheonette;Upper East Side
EJ's Luncheonette;Upper West Side
EN Japanese Brasserie;West Village
ETATS-UNIS;Upper East Side
East Ocean Seafood Restaurant;Chinatown
East Village Thai Restaurant;East Village
East of Eighth;Chelsea
Eat Here Now;Upper East Side
Eat-pisode;Lower East Side
Eatery;Hell's Kitchen
Ecco!;Tribeca
Ed's Lobster Bar;Soho
Edgar's Cafe;Upper West Side
Edward's;Tribeca
Egg Custard King Two Cafe;Chinatown
Eight Mile Creek;Nolita
Eighty One;Upper West Side
Eisenberg's Sandwich Shop;Flatiron
El Castillo de Jagua Restaurant;Lower East Side
El Centro;Hell's Kitchen
El Charro Español;West Village
El Cid;Chelsea
El Cocotero;Chelsea
El Faro;West Village
El Maguey y La Tuna;Lower East Side
El Malecón Restaurant;Upper West Side
El Parador Café;Murray Hill/Kips Bay
El Paso;West Village
El Paso Taqueria;Spanish Harlem
El Pote Español;Murray Hill/Kips Bay
El Presidente;Wash Hts/Inwood
El Quijote;Chelsea
El Quinto Pino;Chelsea
El Rey Del Sol;West Village
El Rinconcito;East Village
El Rincón del Sabor;Midtown West
El Sombrero (The Hat);Lower East Side
Elaine’s;Upper East Side
Elephant & Castle;West Village
Elettaria;West Village
Eleven Madison Park;Flatiron
Eli's Vinegar Factory;Upper East Side
Elio's;Upper East Side
Elixir;West Village
Ellen's Stardust Diner;Times Square
Elvie's Turo-Turo;East Village
Empanada Mama;Hell's Kitchen
Empire Diner;Chelsea
Empire Szechuan Village;West Village
Employees Only;West Village
Emporium Brasil;Midtown West
Ennio & Michael;West Village
Epicerie Café Charbon;Lower East Side
Epices du Traiteur;Upper West Side
Erminia;Upper East Side
Esca;Hell's Kitchen
Esperanto;East Village
Esperanto Cafe;West Village
Essex;Lower East Side
Estancia 460;Tribeca
Estiatorio Milos;Midtown West
Etcetera Etcetera;Hell's Kitchen
Ethos;Murray Hill/Kips Bay
Etrusca;Midtown West
Euro Corner Restaurant;Harlem
Eva's;West Village
Evergreen Shanghai;Murray Hill/Kips Bay
Excellent Dumpling House;Chinatown
Excellent Pork Chop House;Chinatown
Express Cafe;West Village
Extra Virgin;West Village
F&B güdtfood;Chelsea
F. Illi Ponte Ristorante;Tribeca
FR.OG;Soho
Falai;Lower East Side
Falai Panetteria;Lower East Side
Famiglia;West Village
Famous Ben’s Pizza;Soho
Famous Ray’s of Greenwich Village;West Village
Famous Seafood;Harlem
Farinella;nan
Fat Annie's Truck Stop;East Village
Fatty Crab;West Village
Fatty Crab;Upper West Side
Fedora Restaurant;West Village
Felice Wine Bar;Upper East Side
Felidia;Midtown East
Felix;Soho
Ferro's;Midtown East
Festival Mexicano Restaurant;Lower East Side
Fiddlesticks Pub & Grill;West Village
Fig & Olive;Meatpacking District
Fig & Olive;Upper East Side
Fig & Olive;Midtown East
Figaro;Midtown West
Fika;Midtown West
Film Center Cafe;Hell's Kitchen
Fino;Murray Hill/Kips Bay
Fino Wall Street;Financial/Battery Pk
Fiorini;Midtown East
FireBird Russian Restaurant;Hell's Kitchen
Firenze Ristorante;Upper East Side
Fireside;Midtown East
First Hungarian Literary Society;Upper East Side
Fish;West Village
Fishers of Men;Harlem
Fishtail by David Burke;Midtown West
Five Luck Restaurant;Upper East Side
Five Napkin Burger;nan
Five Points;East Village
Fives;Midtown East
Flea Market Café;East Village
Fleur de Sel;Flatiron
Flex Mussels;Upper East Side
Flor de Sol;Tribeca
Flordita Tapas;Harlem
Florencia 13;West Village
Flowers Cafe;Lower East Side
Focacceria;West Village
Focolare;Little Italy
Food Merchants Cafe & Market;Midtown East
Food Merchants Cafe & Market;Times Square
Food Merchants Cafe & Market;Murray Hill/Kips Bay
Food Merchants Market & Cafe;Times Square
Food Sing 88 Corp.;Chinatown
