1;2_x
Franchia;Murray Hill/Kips Bay
Francisco's Centro Vasco;Chelsea
Frank;East Village
Frankie & Johnnie's Steakhouse;Midtown West
Frankie & Johnnie's Steakhouse;Times Square
Frankies Spuntino 17 Clinton Street;Lower East Side
Fraunces Tavern;Financial/Battery Pk
Fred's;Upper West Side
Fred's at Barneys New York;Upper East Side
Frederick's Downtown;West Village
Frederick's Madison;Upper East Side
FreeFoods NYC;Midtown West
Freemans;Lower East Side
French Roast;Upper West Side
French Roast;West Village
Fresco;Midtown East
Fresco on the Go;Midtown East
Fresh Basil's Trattoria;Midtown East
Fresh Tortilla Express;Soho
FreshCo Burrito Taco;West Village
Fried Dumpling;Lower East Side
Friend House;East Village
Friend House 2;Gramercy
Friend of a Farmer;Gramercy
Friend's Cafe & Deli;West Village
Fuleen Seafood Restaurant;Lower East Side
Funayama;West Village
Gaam;Midtown West
Gabriel's Bar & Restaurant;Upper West Side
Gabriela's Restaurante y Tequila Bar;Upper West Side
Gaetana's;West Village
Gahm Mi Oak;Midtown West
Galanga;West Village
Gallagher's Steak House;Times Square
Gallo Nero Wine Bar & Grill;Hell's Kitchen
Gama;East Village
Gandhi;East Village
Garage Restaurant & Café;West Village
Garden Court Café;Upper East Side
Gari;Upper West Side
Gascogne;Chelsea
Gate House;Battery Park City
Gauchas Empanadas;Upper East Side
Gavroche;West Village
Geisha;Upper East Side
Gemini Diner;Murray Hill/Kips Bay
Gemma;East Village
Gena's Grill;East Village
Gene's;West Village
Genesis;Wash Hts/Inwood
Gennaro;Upper West Side
George's;Financial/Battery Pk
Georgia's Eastside BBQ;Lower East Side
Georgio's Country Grill;Hell's Kitchen
Ghandi Cafe;West Village
Ghenet;Nolita
Giambelli 50th Restaurant;Midtown East
Giano;East Village
Gigino Trattoria;Tribeca
Gigino at Wagner Park;Financial/Battery Pk
Gilt;Midtown East
Ginger;East Village
Gino;Upper East Side
Giorgio's;Upper East Side
Giorgio's of Gramercy;Flatiron
Giorgione;Soho
Giovanni;Midtown West
Giovanni Venti Cinque;Upper East Side
Girasole;Upper East Side
Gnocco Cucina & Tradizione;East Village
Go!Go! Curry;Midtown West
Gobo;Upper East Side
Gobo;West Village
Gold St.;Financial/Battery Pk
Golden Krust Caribbean Bakery & Grill;Midtown West
Golden Unicorn Restaurant;Lower East Side
Golden Woks;West Village
Gonzalez y Gonzalez;East Village
Gonzo;West Village
Good;West Village
Good Burger;Midtown East
Good Enough to Eat;Upper West Side
Good Health;Upper East Side
Good Portions;Murray Hill/Kips Bay
Gordon Ramsay at the London;Midtown West
Gotham Bar and Grill;West Village
Gottino;West Village
Grace;Tribeca
Grace's Trattoria;Upper East Side
Gradisca;West Village
Graffiti;East Village
Gramercy Tavern;Flatiron
Grand Bar & Lounge;Soho
Grand Central Oyster Bar & Restaurant;Midtown East
Grand Harmony Restaurant;Little Italy
Grand Sichuan;West Village
Grand Sichuan International;Chelsea
Grand Sichuan International;East Village
Grand Sichuan NY;Murray Hill/Kips Bay
Grano Trattoria;West Village
Grape and Grain;East Village
Great Burrito;Flatiron
Great Jones Cafe;East Village
Great N.Y. Noodletown;Lower East Side
Green Tea Café;Chinatown
Greenwich Grill;Tribeca
Greenwich Steak & Burger;Tribeca
Grey Dog Coffee;West Village
Grifone;Midtown East
Grill 21;Gramercy
Grill 44;Midtown East
Grom;Upper West Side
Grom;West Village
Grotta Azzurra;Little Italy
Grotto;Lower East Side
Guantanamera;Midtown West
Guastavino's;Upper East Side
Gus's Place;West Village
Gusto Organics;West Village
Gusto Ristorante e Bar Americano;West Village
Gyu-Kaku;Midtown East
Gyu-Kaku;East Village
HK;Hell's Kitchen
HSF;Chinatown
Hacienda de Argentina;Upper East Side
Hakata Grill;Times Square
Haku Sushi;Upper West Side
Hakubai;Murray Hill/Kips Bay
Halal Chicken and Gyro;Midtown West
Hallo Berlin;Midtown West
Hallo Berlin;Hell's Kitchen
Hampton Chutney Co.;Soho
Hampton Chutney Co.;Upper West Side
Han Bat;Midtown West
HanGawi;Murray Hill/Kips Bay
Hanami;West Village
Hane Sushi;Murray Hill/Kips Bay
Harbour Lights;Financial/Battery Pk
Hard Rock Café;Times Square
Harriet's Kitchen;Upper West Side
Harry Cipriani;Midtown West
Harry's Steak;Financial/Battery Pk
Haru;Financial/Battery Pk
Hasaki Restaurant;East Village
Hatsuhana;Midtown East
Havana Alma de Cuba;West Village
Havana Central;Times Square
Havana Central;Union Square
Haveli;East Village
Hawaiian Tropic Zone;Times Square
Heartbeat;Midtown East
Hearth;East Village
Hector's Cafe;Meatpacking District
Heidelberg Restaurant;Upper East Side
Hell's Kitchen;Hell's Kitchen
Henry's;Upper West Side
Hi-Life Bar and Grill;0
Hi-Life Restaurant & Lounge;Upper East Side
Highline;Meatpacking District
Hill Country;Flatiron
Hiro;East Village
Hiroko's Place;Soho
Hispaniola;Wash Hts/Inwood
Hoi An;Tribeca
Hokkaido Sushi;Upper East Side
Hollywood Diner;Union Square
Holy Basil;East Village
Home Restaurant;West Village
Hong Kong Station;Lower East Side
Hong Kong Station;Chinatown
Hookah Cafe;Upper East Side
Hoomoos Asli;Nolita
Hop Kee;Chinatown
Horus Café;East Village
House of Vegetarian;Chinatown
Houston's;Flatiron
Houston's;Midtown East
Huan Ji Rice Noodles;Lower East Side
Hudson Cafeteria;Hell's Kitchen
Hudson Diner;West Village
Hudson Falafel;West Village
Hudson Place;Murray Hill/Kips Bay
Hudson River Café;Harlem
Hudson Yards Cafe;Hell's Kitchen
Hummus Place;West Village
Hummus Place;East Village
Hunan Park;Upper West Side
Hundred Acres;Soho
Hurley’s;Midtown West
I Coppi;East Village
I Sodi;West Village
I Tre Merli;Soho
I Tre Merli Bistro;West Village
ING Direct Café;Midtown East
Icon;Murray Hill/Kips Bay
Ideya;Soho
Ikeno Hana;Upper East Side
Il Bagatto;East Village
Il Bastardo;Chelsea
Il Brigante;Financial/Battery Pk
Il Buco;East Village
Il Cantinori;West Village
Il Corallo Trattoria;Soho
Il Cortile;Little Italy
Il Fornaio;Little Italy
Il Gattopardo;Midtown West
Il Giglio;Financial/Battery Pk
Il Mattone;Tribeca
Il Melograno;Hell's Kitchen
Il Menestrello;Midtown East
Il Mulino;West Village
Il Nido;Midtown East
Il Palazzo;Little Italy
Il Postino;Midtown East
Il Riccio;Upper East Side
Il Tinello Ristorante;Midtown West
Il Vagabondo;Upper East Side
Il Valentino;Midtown East
In Vino;East Village
Inagiku;Midtown East
Indian Bread Co.;West Village
Indian Curry Mahal;East Village
Indian Taj;West Village
Indian Tandoor Oven Restaurant;Upper East Side
Indigo Indian Bistro;Midtown East
Indo Munch;Murray Hill/Kips Bay
Indochine;East Village
Indus Valley;Upper West Side
Industria Argentina;Tribeca
Inside Park at St. Bart's;Midtown East
Insieme;Times Square
Intermezzo;Chelsea
Ippudo NY;East Village
Irving Mill;Union Square
Isabella's;Upper West Side
Ise Japanese Restaurant;Financial/Battery Pk
Ishikura Restaurant;East Village
Island;Upper East Side
Island Burgers and Shakes;Hell's Kitchen
Isle of Capri;Upper East Side
Islero;Midtown East
Istana;Midtown East
Istanbul Grill;West Village
Italianissimo Ristorante;Upper East Side
Ithaka;Upper East Side
Itzocan Bistro;Spanish Harlem
Itzocan Cafe;East Village
Ivo & Lulu;Soho
Ivy's Bistro;Tribeca
Izakaya Ten;Chelsea
J.M. Family Noodle;Chinatown
JG Melon;Upper East Side
Jack Bistro;West Village
Jack's Stir Brew Coffee;West Village
Jack’s Luxury Oyster Bar;East Village
Jacques;Nolita
Jacques Brasserie;Upper East Side
Jacques Torres Chocolate Haven;Soho
Jaiya;Murray Hill/Kips Bay
Jane;West Village
Japonais;Gramercy
Japonica;West Village
Jarnac;West Village
Jasmine Thai;Upper East Side
Java Girl;Upper East Side
Jazzy's;Soho
Je'Bon Noodle House;East Village
Jean Claude;Soho
Jean Georges;Upper West Side
Jeeb Thai Tapas;Lower East Side
Jeollado;East Village
Jesse's Place;Wash Hts/Inwood
Jewel Bako;East Village
Jewel of India;Midtown West
Jiannetto's Pizza & Catering;Midtown East
Jimmy's No. 43;East Village
Jin;Lower East Side
Jing Fong;Chinatown
JoJo;Upper East Side
Joanna's Restaurant;Upper East Side
Joe;West Village
Joe Allen Restaurant;Hell's Kitchen
Joe Jr. Restaurant;West Village
Joe's Dairy;Soho
Joe's Ginger;Chinatown
Joe's Pizza;West Village
John's of 12th Street;East Village
Johnny Utah's;Midtown West
Josie's Restaurant;Murray Hill/Kips Bay
Josie's West;Upper West Side
Juan Valdez Café;Midtown East
Jubilee;Midtown East
Jules;East Village
Junior's;Midtown East
Just Salad;Midtown East
KUTA;Lower East Side
Kai;Upper East Side
Kaleidoscope;East Village
Kam Cheuh;Chinatown
Kami Sushi;Midtown East
Kampuchea Restaurant;Lower East Side
Kang Suh;Midtown West
Kanoyama;East Village
Kao Sushi;Upper East Side
Karahi;West Village
Karavas Pizza 'n' Pita;West Village
Karavas Place;West Village
Kasadela;East Village
Kate's Joint;East Village
Kati Roll Company;Times Square
Kati Roll Company;West Village
Katsu-Hama;Midtown East
Katz's Delicatessen;Lower East Side
Kawa Sushi;West Village
Kebab Garden;East Village
Keens Steakhouse;Midtown West
Kefi;Upper West Side
Kellari Taverna;Midtown West
Kellari’s Parea;Flatiron
Kelley & Ping;Soho
Kenka;East Village
Kennedy's;Hell's Kitchen
Key West Diner;Upper West Side
Khushie Indian Kitchen;Lower East Side
Khyber Pass;East Village
Kim's Aunt;Midtown West
King Food;West Village
King Wok;West Village
Kings' Carriage House;Upper East Side
Kingswood;West Village
Kismat Indian Restaurant;Wash Hts/Inwood
Kitchen Club;Nolita
Kitchenette;Tribeca
Kitchenette Uptown;Morningside Hts
Kittichai;Soho
Kiva Café;Soho
Kión;East Village
Klatch Coffee Bar;Financial/Battery Pk
Klee Brasserie;Chelsea
Klong;East Village
Knickerbocker Bar & Grill;West Village
Knife + Fork;East Village
Ko Sushi;Upper East Side
Kobe Club;Midtown West
Kobma Thai;West Village
Koi;Midtown West
Kool Bloo;Soho
Korea Palace;Midtown East
Korean Temple Cuisine;East Village
Kori;Tribeca
Koryodang;Midtown West
Krik Krak;Upper West Side
Krunch Pizza Bar;Midtown East
Kum Gang San;Midtown West
Kuma Inn;Lower East Side
Kunjip;Midtown West
Kurio;Upper East Side
Kuruma Zushi;Midtown East
Kurve;East Village
KushiQ;Midtown East
Kwik Meal #1;Times Square
Kyo Ya;East Village
Kyotofu;Hell's Kitchen
L and L Hawaiian Barbecue;Financial/Battery Pk
L'Absinthe;Upper East Side
L'Annam;West Village
L'Arte Del Gelato;West Village
L'Arte Del Gelato;Chelsea
L'Atelier de Joël Robuchon;Midtown East
L'Ecole at The French Culinary Institute;Soho
L'Express;Gramercy
L'Orange Bleue;Soho
L'asso;Nolita
La Barra;nan
La Belle Vie;Chelsea
La Bonbonniere;West Village
La Bonne Soupe;Midtown West
La Bottega;Chelsea
La Boîte en Bois;Upper West Side
La Caridad 78;Upper West Side
La Carne Grill;Murray Hill/Kips Bay
La Casa Del Mofongo;Wash Hts/Inwood
La Colombe Torrefaction;Tribeca
La Dinastia;Upper West Side
La Esquina;Little Italy
La Focaccia;West Village
La Fonda Boricua;Spanish Harlem
La Fonda del Sol;nan
La Giara;Murray Hill/Kips Bay
La Gioconda;Midtown East
La Goulue;Upper East Side
La Grenouille;Midtown East
La Grolla Ristorante;Upper West Side
La Hacienda;Spanish Harlem
La Houppa;Upper East Side
La Lanterna di Vittorio;West Village
La Lunchonette;Chelsea
La Mangeoire;Midtown East
La Masseria;Times Square
La Mediterranée;Midtown East
La Mirabelle;Upper West Side
La Nacional;Chelsea
La Nueva Conquista;Soho
La Paella;East Village
La Palapa;East Village
La Palapa West;West Village
La Palette Bar & Restaurant;West Village
La Petite Auberge;Gramercy
La Pizza Fresca Ristorante;Flatiron
La Ripaille;West Village
La Rivista;Hell's Kitchen
La Rural;Upper West Side
La Taza de Oro;Chelsea
La Tina’s Comida Latina;Gramercy
La Vela;Upper West Side
La Vineria;Hell's Kitchen
La Zarza;East Village
Lady Mendl's;Gramercy
Lahore Deli;Soho
Lamarca;Gramercy
Lan Cafe;East Village
Land Thai Kitchen;Upper West Side
Landmarc;Tribeca
Landmarc;Upper West Side
Landmark Tavern;Hell's Kitchen
Lantern;Gramercy
Lanza Restaurant;East Village
Las Ramblas;West Village
Lasagna Ristorante;Midtown East
Lassi;West Village
Lattanzi;Hell's Kitchen
Lavagna;East Village
Lazzara's Pizza Café;Midtown West
Le Bateau Ivre;Midtown East
Le Bernardin;Times Square
Le Bilboquet;Upper East Side
Le Boeuf a la Mode;Upper East Side
Le Caire Lounge;East Village
Le Cirque;Midtown East
Le Colonial;Midtown East
Le Gigot;West Village
Le Jardin Bistro;Nolita
Le Lupanar;Lower East Side
Le Marais;Times Square
Le Miu;East Village
Le Monde;Morningside Hts
Le Petit Belge;West Village
Le Père Pinard;Lower East Side
Le Périgord;Midtown East
Le Refuge;Upper East Side
Le Rivage;Hell's Kitchen
Le Singe Vert;Chelsea
Le Souk;East Village
Le Train Bleu;Upper East Side
Le Veau d'Or;Upper East Side
Le Zie;Chelsea
Lenox Lounge;Harlem
Leo's Bagels;nan
Leonardo da Vinci Ristorante & Wine Bar;Upper East Side
Les Ambassades Boulangerie-Patisserie-Cafe;Harlem
Les Enfants Terribles;Lower East Side
Levana;Upper West Side
Lever House Restaurant;Midtown East
Lexington Candy Shop;Upper East Side
Li Hua;Little Italy
Liberty View;Battery Park City
Life Cafe;East Village
Likitsakos Market;Upper East Side
Lil' Frankie's Big Cheech;East Village
Lil' Frankie's Pizza;East Village
Lili's Noodle Shop & Grill;Battery Park City
Lily's Bar;Midtown East
Lips;West Village
Little Atlas Café;West Village
Little Giant;Lower East Side
Little Havana Restaurant;West Village
Little Italy Pizza;Financial/Battery Pk
Little Italy Pizza;Midtown West
Little Poland;East Village
Live Bait;Flatiron
Lobby Lounge;Upper West Side
Loft;Upper West Side
Lola;Soho
Lombardi's;Nolita
Londel's Supper Club;Harlem
Loreley Restaurant & Biergarten;Lower East Side
Los Dados;West Village
Los Dos Molinos;Gramercy
Lotus;Chelsea
Lovely Day;Nolita
Lucien;East Village
Lucky Cheng's;East Village
Lucky Strike;Soho
Lucy of Gramercy;Flatiron
Lugo Caffè;Midtown West
Luke's Bar & Grill;Upper East Side
Lulu;Nolita
Lumi;Upper East Side
Luna Piena Ristorante Italiano;Midtown East
Lunetta;Flatiron
Lupa Osteria Romana;West Village
Lupe's East L.A. Kitchen;Soho
Lure Fishbar;Soho
Lusardi's;Upper East Side
Luxor Lounge;West Village
Luzia's;Upper West Side
Luzzo's;East Village
L’Artusi;West Village
M. Rohrs' House of Fine Teas & Coffees;Upper East Side
Ma Ma Buddha;West Village
Macao Trading Co.;Tribeca
Macchiato Espresso Bar;Midtown East
Macelleria;West Village
Macondo;nan
Mad Dog & Beans Mexican Cantina;Financial/Battery Pk
Madison & Vine;Midtown East
Madison Bistro;Murray Hill/Kips Bay
Madras Mahal;Gramercy
Mae Mae Cafe;Soho
Mai House;Tribeca
Make My Cake;Harlem
Malatesta Trattoria;West Village
Malecon;Wash Hts/Inwood
Maloney & Porcelli;Midtown East
Mama's Food Shop;East Village
Mama's Mudsliders;West Village
Mamajuana Cafe;Wash Hts/Inwood
Mambi Lounge;Midtown East
Mamlouk;East Village
Mamoun's;West Village
Mamá Mexico;Upper West Side
Mamá Mexico;Midtown East
Manatus Restaurant;West Village
Mancora;East Village
Mandarin Court;Chinatown
Mandler's: The Original Sausage Co.;Union Square
Mandler's: The Original Sausage Co.;Hell's Kitchen
Mandoo Bar;Murray Hill/Kips Bay
Manganaro's Hero Boy;Hell's Kitchen
Mangez Avec Moi;Financial/Battery Pk
Mangia e Bevi;Hell's Kitchen
Mangiami;Lower East Side
Manhattan Bistro;Soho
Manhattan Brick Oven & Grill;Upper East Side
Manhattan Chili Co.;Midtown East
Manhattan Chinatown Cart;Lower East Side
Manhattan Sky;Midtown East
Manna's Soul Food Restaurant;Harlem
Maoz Vegetarian;Union Square
Mapi;West Village
Maracas Bar and Grill;West Village
Mara’s Homemade;East Village
Marc Forgione;Tribeca
Marchi's;Murray Hill/Kips Bay
Mardigras Pizza;Financial/Battery Pk
Maremma;West Village
Margon;Times Square
Maria Pia;Hell's Kitchen
Marinella;West Village
Marion's Continental Restaurant and Lounge;East Village
MarkJoseph Steakhouse;Financial/Battery Pk
Market Cafe;Hell's Kitchen
Market Table;West Village
Markt;Chelsea
Marseille;Hell's Kitchen
Maru;Midtown West
Marumi Japanese Restaurant;West Village
Maruzzella Ristorante;Upper East Side
Mary's Fish Camp;West Village
Mas (farmhouse);West Village
Masa;Upper West Side
Masala Bollywood;Gramercy
Masamoto;West Village
Massawa;Morningside Hts
Matador;West Village
Matilda;East Village
Matsugen;Tribeca
Matsuri;Chelsea
Maurizio Trattoria;West Village
Max;East Village
Max;Tribeca
Max Brenner: Chocolate by the Bald Man;East Village
Max Caffé;Morningside Hts
Max SoHa;Morningside Hts
Maxie;Murray Hill/Kips Bay
Maya;Upper East Side
Maz Mezcal;Upper East Side
Maze;Midtown West
McCormick & Schmick’s Seafood Restaurant;Times Square
Meade's;Financial/Battery Pk
Medina;W. 20s
Medina Restaurant;East Village
Mediterraneo;Upper East Side
Mee Noodle Shop and Grill;Midtown East
Megu;Tribeca
Megu Midtown;Midtown East
Mei Lei Wah Coffee House;Chinatown
Mekong;Soho
Melba’s;Harlem
Meli Melo;Murray Hill/Kips Bay
Menchanko-Tei;Midtown East
Menchanko-Tei 55;Midtown West
Mendy's;Murray Hill/Kips Bay
Menkui Tei;East Village
Mercadito;West Village
Mercadito;East Village
Mercat;East Village
Merkato 55;West Village
Mesa Grill;Union Square
Meskel;East Village
Meskel Ethiopian Restaurant;nan
Meskerem Ethiopian Restaurant;West Village
Meskerem Ethiopian Restaurant;Hell's Kitchen
Metro Diner;Upper West Side
Metro Grill;Midtown West
Metro Marché;Hell's Kitchen
MetroCafé & Wine Bar;Flatiron
Mexican Radio;Nolita
Mexicana Mama;West Village
Mezzaluna;Upper East Side
Mezzanine Restaurant;Times Square
Mezzogiorno;Soho
Mi Cocina;West Village
Mia Dona;Midtown East
Michael Jordan's The Steak House N.Y.C.;Midtown East
Michael's;Midtown West
Milk 'N Honey;Midtown West
Milon Restaurant;East Village
Minca Ramen Factory;East Village
Minetta Tavern;nan
Mint;Midtown East
Miracle Grill;West Village
Mishima;Murray Hill/Kips Bay
Miss Mamie's Spoonbread Too;Upper West Side
Miss Maude's Spoonbread Too;Harlem
Mitali East;East Village
Miyabi;West Village
Miyagi;West Village
Mizu Sushi;Flatiron
Mo Ra Kote Siam;nan
MoBay;Harlem
Moco Global Dining;Murray Hill/Kips Bay
Moda Outdoors;Times Square
Moda Restaurant and Lounge;Times Square
Moksha;Financial/Battery Pk
Molyvos;Midtown West
Momofuku Bakery & Milk Bar;East Village
Momofuku Ko;East Village
Momofuku Noodle Bar;East Village
Momofuku Ssäm Bar;East Village
Momoya;Chelsea
Monster Sushi;Midtown West
Monster Sushi;Chelsea
Mont Blanc;Hell's Kitchen
Monte's;West Village
Montebello;Midtown East
Montien;East Village
Montparnasse;Midtown East
Mooncake Foods;Soho
Moonstruck Diner;Chelsea
Moonstruck East;Murray Hill/Kips Bay
Morakate Siam;West Village
Moran's Chelsea;Chelsea
Morandi;West Village
Morimoto;Chelsea
Morrell Wine Bar & Cafe;Midtown West
Morton's The Steakhouse;Midtown East
Mosco Pizza;Chinatown
Mottsu;Nolita
Moustache;West Village
Moustache;East Village
Mo’s Caribbean Bar and Mexican Grill;Upper East Side
Mr. Chow;Midtown East
Mr. Chow Tribeca;Tribeca
Mr. Jones;Gramercy
Mr. K's;nan
Mudspot;East Village
Mudville 9;Tribeca
Mughlai;Upper West Side
Mumbles;Gramercy
Mumtaz Indian Restaurant;Upper East Side
Murals on 54;Midtown West
Mustang Grill;Upper East Side
Mustang Harry's;Midtown West
Mustang Sally's;W. 20s
Muzzarella Pizza;East Village
My Most Favorite Food Company;Times Square
Métisse French Bistro;Upper West Side
Métrazur;Midtown East
Móle;Lower East Side
N.Y. Dosas;West Village
N28;nan
NY Noodle Town Inc.;Chinatown
NYC ICY Company;Hell's Kitchen
Naima;Chelsea
Naka Naka;Chelsea
Nam;Tribeca
Nanni's Restaurant;Midtown East
Nanoosh Mediterranean Hummus Bar;Upper West Side
Naples 45 Ristorante e Pizzeria;Midtown East
Naruto;Upper East Side
Native;Harlem
Natori;East Village
Natsumi;Times Square
Naya Mezze & Grill;Midtown East
Negril;Chelsea
Negril Village;West Village
Nello;Upper East Side
Nelson Blue;Financial/Battery Pk
Neo Sushi;Upper West Side
Nero;West Village
Nespresso Boutique Bar;Upper East Side
New Bo Ky Restaurant;Chinatown
New Chao Chow;Little Italy
New Green Bo;Chinatown
New Leaf Café;Wash Hts/Inwood
New Pasteur;Chinatown
New Yeah Shanghai Deluxe;Chinatown
New York Burger Co.;Flatiron
New York Burger Co.;Midtown East
New York Kom Tang Kal Bi House;Midtown West
Nha Trang Centre;Chinatown
Nica Trattoria;Upper East Side
Nice Matin;Upper West Side
Nick & Toni's Café;Upper West Side
Nick + Stef's Steakhouse & Bar;Midtown West
Nick's Pizza;Upper East Side
Nicky's Vietnamese Sandwiches;East Village
Nicola's;Upper East Side
Nicole's;Upper East Side
Niko's Mediterranean Grill and Bistro;Upper West Side
Nina's Argentinian Pizzeria;Upper East Side
Ninja New York;Tribeca
Nino's;Upper East Side
Nino's Bellissima Pizza;nan
Nino's Positano;Midtown East
Nino's Tuscany;Midtown West
Nino’s Pizzeria;East Village
Ninth Street Espresso;East Village
Nippon;Midtown East
Nisos;Chelsea
Nizza;Hell's Kitchen
Noah's Ark;Lower East Side
Noble Food & Wine;Nolita
Nobu;Tribeca
Nobu 57;Midtown West
Nobu Next Door;Tribeca
Noche Mexicana;Upper West Side
Noho Star;East Village
Nolita House;Nolita
Nomad;East Village
Nonna;Upper West Side
Nooch;Chelsea
Noodle Bar;West Village
Noodle Village;Chinatown
Nori;East Village
Norma's;Midtown West
North Square Restaurant;West Village
North West;Upper West Side
Notaro;Murray Hill/Kips Bay
Nougatine;Upper West Side
Novecento;Soho
Novitá;Gramercy
Num Pang;nan
Nussbaum & Wu;Morningside Hts
Nyonya;Little Italy
O'Hara's Restaurant;Financial/Battery Pk
O'Neals;Upper West Side
O-I-Shi-I Sushi at Ivy's Café;Upper West Side
OTTO Enoteca Pizzeria;West Village
Obiká;Midtown East
Ocean Grill;Upper West Side
Oceana;Midtown East
Oklahoma Smoke BBQ;Harlem
Olana;Flatiron
Old Homestead Steakhouse;Chelsea
Old San Juan;Hell's Kitchen
Oliva;Lower East Side
Olive Garden;Times Square
Olive Tree Cafe;West Village
Olive's;Soho
Ollie's Noodle Shop;Morningside Hts
Ollie's Noodle Shop;Upper West Side
Ollie's Noodle Shop;Times Square
Olympic Diner;Hell's Kitchen
Olympic Pita;Midtown West
Olé Restaurant;Gramercy
Omai;Chelsea
Omen;Soho
Omido;Midtown West
Oms/b;Midtown East
One If by Land, Two If by Sea;West Village
One Little West 12;Meatpacking District
One83;Upper East Side
Ono;Meatpacking District
Ooki Sushi;Upper East Side
Open the Sesame;nan
Opia;Midtown East
Opus;nan
Orbit East Harlem;Spanish Harlem
Orchid Caribbean/Soul Cuisine;Hell's Kitchen
Oriental Garden;Chinatown
Oro Bakery and Bar;Little Italy
Orsay;Upper East Side
Orso;Hell's Kitchen
Oscar's American Brasserie;Midtown East
Osso Buco;West Village
Osso Buco;Upper East Side
Osteria Gelsi;Hell's Kitchen
Osteria Laguna;Midtown East
Osteria Serafina;Midtown East
Osteria al Doge;Times Square
Osteria del Circo;Midtown West
Ostia;West Village
Otafuku;East Village
Ottimo;Flatiron
Ouest;Upper West Side
Our Place Cuisines of China;Upper East Side
Our Place Shanghai Tea Garden;Midtown East
Out of the Kitchen;West Village
Ozu;Upper West Side
P*ONG;West Village
P.J. Moran’s Irish Pub and Restaurant;Midtown East
Pacific Grill;Financial/Battery Pk
Pad Thai;Chelsea
Padre Figlio;Midtown East
Paladar;Lower East Side
Palm Court;Midtown East
Palm Too;Midtown East
Palma;West Village
Palà;Lower East Side
Pam Real Thai Food;Hell's Kitchen
Pampano;Midtown East
Pampano Taqueria;Midtown East
Pamplona;Murray Hill/Kips Bay
Pan Latin Cafe;Battery Park City
Panca;West Village
Panchito's Mexican Restaurant y Cantina;West Village
Pane e Cioccolato;West Village
Panino Sportivo Roma;Morningside Hts
Panna II;East Village
Paola's;Upper East Side
Papatzul;Soho
Papaya King;West Village
Papaya King;Upper East Side
Papillon Bistro & Bar;Midtown East
Pappardella;Upper West Side
Paprika;East Village
Paquitos;East Village
Paradis to Go;East Village
Paradou;Meatpacking District
Paradou Marché;Lower East Side
Pardo's;West Village
Paris Commune;West Village
Paris Match;Upper East Side
