restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
'Cesca;164 W 75th St;New York;NY;Upper West Side;Italian;$$$;164 W 75th St
'Ino;21 Bedford St;New York;NY;Greenwich Village;Italian;$;21 Bedford St
'Inoteca;98 Rivington St;New York;NY;Lower East Side;Italian;$$;98 Rivington St
107 West;811 W 187th St;New York;NY;Harlem;Creole-Cajun;$$$;811 W 187th St
15 East;15 E. 15th Street;New York;NY;Union Square;Japanese;$$$$;15 E 15th St
2 Rivers Bar and ReStaurant;10 Murray St;New York;NY;;American;;10 Murray Street
2 West;2 West St;New York;NY;Financial District;American;$$$;2 West St
21 Club;21 W 52nd St;New York;NY;Midtown West;American;$$$;21 W 52nd St
26 Seats;168 Ave B;New York;NY;East Village;French;$$;168 Avenue B
44;44 W 44th Street;New York;NY;Midtown West;American;$$$;44 W 44th St
44 & X Hell's Kitchen;622 10th Ave;New York;NY;Midtown West;American;$$$;622 10th Ave
5 Napkin Burger;630 Ninth Ave;New York;NY;Hell's Kitchen;American;$$;630 9th Ave
5 Ninth;5 Ninth Ave;New York;NY;Meatpacking District;International;$$$;5 9th Ave
71 Irving Place;71 Irving Pl;New York;NY;Gramercy Park;American;$;71 Irving Pl
77493;1633 Broadway;New York;NY;Midtown West;American;$$;1633 Broadway
A;947 Columbus Ave;New York;NY;Harlem;Caribbean;$;947 Columbus Ave
A Cafe;973 Columbus Avenue;New York;NY;Upper West Side;French;$$$;973 Columbus Ave
A Voce;41 Madison Ave;New York;NY;Gramercy Park;Italian;$$$$;41 Madison Ave
A.O.C.;314 Bleecker St;New York;NY;West Village;French;$$;314 Bleecker St
A.O.C. Bedford;14 Bedford St;New York;NY;Greenwich Village;French;$$$;14 Bedford St
Abboccato;136 W 55th St;New York;NY;Midtown West;Italian;$$$$;136 W 55th St
Acqua;718 Amsterdam Ave.;New York;NY;;Italian;$$$$;718 Amsterdam Ave
Ada;208 E 58th Street;New York;NY;Midtown East;Indian;$$$;208 E 58th St
Agave;140 7th Ave South;New York;NY;Greenwich Village;Southwestern;$$;140 7th Ave S
Aix Brasserie;2398 Broadway;New York;NY;Upper West Side;French;$$$$;2398 Broadway
Aj Maxwell's - Steakhouse;57 West 48th Street;New York;NY;Midtown West;Steakhouse;$$$$;57 W 48th St
Akdeniz;19 W 46th St;New York;NY;Midtown West;Mediterranean;$;19 W 46th St
Aki;181 W Fourth St;New York;NY;Greenwich Village;Caribbean;$$$;181 West 4th Street
Al Bustan Restaurant;827 Third Ave;New York;NY;Midtown East;Middle Eastern;$$$;827 3rd Ave
Alexandra;455 Hudson St;New York;NY;West Village;American;$$;455 Hudson St
Alfama;551 Hudson St;New York;NY;Greenwich Village;Portuguese;$$;551 Hudson St
Alfredo Of Rome;4 W 49th St;New York;NY;;;;4 W 49th St
Ali Baba;206 E 34th St;New York;NY;Murray Hill;Turkish;$;206 E 34th St
Alias;76 Clinton St;New York;NY;Lower East Side;American;$$$;76 Clinton St
Alice's Tea Cup;102 West. 73 st;New York;NY;Upper West Side;American;$;102 W 73rd St
Allegretti;46 West 22nd St;New York;NY;Flatiron;French;$$$$;46 W 22nd St
Allen & Delancey;115 Allen St;New York;NY;Lower East Side;American;$$$;115 Allen St
Almond;12 E 22nd Street;New York;NY;Flatiron;French;$$$$$;12 E 22nd St
Alonso's Steakhouse;265 West 20th St;New York;NY;Chelsea;Steakhouse;$$$;265 W 20th St
Alouette;2588 Broadway;New York;NY;Upper West Side;French;$$$;2588 Broadway
Alta;64 West 10th Street;New York;NY;Greenwich Village;Mediterranean;$$$;64 W 10th St
Alto;520 Madison Ave;New York;NY;Midtown East;Italian;$$$$$;520 Madison Ave
Amalia;;New York;NY;Midtown West;Mediterranean;$$$$;
Amaranth;21 E. 62nd St.;New York;NY;;Mediterranean;$$$;21 E 62nd St
Amazing 66;66 Mott Street;New York;NY;Chinatown;Chinese;$$;66 Mott St
Ambassador Grill and Lounge;1 United Nations Plaza;New York;NY;Midtown East;International;$$$;1 United Nations Plaza
Amber;1406 Third Ave.;New York;NY;;Pan-Asian;$$;1406 3rd Ave
Amma;246 E 51st St;New York;NY;Midtown East;Indian;$$$$;246 E 51st St
Ammos Estiatorio;52 Vanderbilt Ave;New York;NY;Midtown East;Greek;$$$;52 Vanderbilt Ave
Amy Ruth's;113 W 116th St;New York;NY;Harlem;Southern;$;113 W 116th St
Amy's Bread;75 Ninth Ave;New York;NY;Midtown West;American;$;75 9th Ave
Angelica Kitchen;300 E 12th St;New York;NY;East Village;Vegetarian;$;300 E 12th St
Angelo & Maxies Steakhouse;233 Park Ave South (19th St);New York;NY;Midtown West;Steakhouse;$$$;233 Park Ave S
Angelo's Of Mulberry Street;146 Mulberry St Fl 1;New York;NY;Little Italy;Italian;$$$;146 Mulberry St Fl 1
Angon on The Sixth;320 E Sixth St;New York;NY;East Village;Indian;$;320 E 6th St
Annisa;13 Barrow Street;New York;NY;Greenwich Village;American;$$$$$;13 Barrow St
Anthos;36 W 52nd St;New York;NY;Midtown West;Mediterranean;$$$$;36 W 52nd St
Apiary;60 Third Ave.;New York;NY;East Village;American;$$$$;60 3rd Ave
Apizz;217 Eldridge St;New York;NY;Lower East Side;Italian;$$$;217 Eldridge St
Aq Cafe;58 Park Ave;New York;NY;Murray Hill;Scandinavian;$;58 Park Ave
Aquagrill;210 Spring St;New York;NY;SOHO;Seafood;$$$$;210 Spring St
Aquavit;65 East 55th Street;New York;NY;Midtown West;Scandinavian;$$$$;65 E 55th St
Arezzo;46 W 22nd St;New York;NY;Flatiron;Italian;$$$;46 W 22nd St
Aroma;36 E Fourth St;New York;NY;NoLita;Italian;$$;36 E 4th St
Arqua;281 Church Street;New York;NY;TriBeCa;Italian;$$$;281 Church St
Arriba Arriba!;1463 Third Ave;New York;NY;Upper East Side;American;$;1463 3rd Ave
Arte Cafe;106 W 73rd St;New York;NY;Upper West Side;Italian;$$;106 W 73rd St
Artichoke;328 E 14th St;New York;NY;East Village;Pizza;$$;328 E 14th St
Artie's Deli;2290 Broadway;New York;NY;;;;2290 Broadway
Artisanal;2 Park Avenue;New York;NY;Lower East Side;French;$$$;2 Park Ave
Arturo's Restaurants;106 W Houston St;New York;NY;Greenwich Village;Italian;$;106 W Houston St
Asia De Cuba;237 Madison Ave;New York;NY;Murray Hill;Asian;$$$$;237 Madison Ave
Asiakan;710 Amsterdam Ave.;New York;NY;Upper West Side;Pan-Asian;$;710 Amsterdam Ave
Asiate;80 Columbus Cir at 60th Street;New York;NY;Upper West Side;French;$$$$;80 Columbus Cir
Aspen;30 W 22nd St;New York;NY;;;;30 W 22nd St
Aspen Social Club;157 W 47th St;New York;NY;Midtown West;American;$$$$;157 W 47th St
Atlantic Grill;1341 Third Ave;New York;NY;Upper East Side;Seafood;$$$;1341 3rd Ave
Atnhos;36 W. 52nd Street;New York;NY;;Greek;$$$$;36 W 52nd St
Au Mandarin;200-250 Vesey St;New York;NY;Financial District;Chinese;$$;200 Vesey St
August;359 Bleecker St;New York;NY;West Village;European;$$$;359 Bleecker St
Aureole;34 E 61st St (Between Park and Madison);New York;NY;Midtown East;American;$$$$$;34 E 61st St (Between Park and Madison)
Aurora;51 Broome St.;New York;NY;SOHO;Italian;$$;51 Broome St
Avra Estiatorio;141 E 48th St;New York;NY;Midtown East;Greek;$$$$;141 E 48th St
Awash;947 Amsterdam Ave.;New York;NY;;Ethiopian;;947 Amsterdam Ave
Azafran;77 Warren St;New York;NY;TriBeCa;Spanish;$$$;77 Warren St
Azucar;939 Eighth Avenue;New York;NY;Midtown West;Cuban;$$;939 8th Ave
Azuri Cafe;465 W 51st St;New York;NY;Midtown West;Jewish;$;465 W 51st St
Azza;137 E. 55th Street;New York;NY;Midtown East;Moroccan;$$$$;137 E 55th St
B. Smith's Restaurant Row;320 West 46th St;New York;NY;Midtown West;Southern;$$$;320 W 46th St
BLT Fish;21 W 17th St;New York;NY;Flatiron;Seafood;$$;21 W 17th St
BLT Prime;111 East 22nd Street;New York;NY;Gramercy Park;American;$$$$;111 E 22nd St
BLT Steak;106 E 57th St;New York;NY;Midtown East;Steakhouse;$$$$$;106 E 57th St
Babbo;110 Waverly Pl;New York;NY;Greenwich Village;Italian;$$$$;110 Waverly Pl
Baldoria;249 West 49th Street;New York;NY;Midtown West;Italian;$$$$;249 W 49th St
Bali Nusa Indah Restaurant Inc;651 9th Ave;New York;NY;;Indonesian;;651 9th Ave
Balthazar;80 Spring Street;New York;NY;SOHO;French;$$$;80 Spring St
Banjara;97 First Ave;New York;NY;East Village;Indian;$$;97 1st Avenue
Bann;350 W 50th St;New York;NY;Theater;Korean;$$$;350 W 50th St
Bao 111;111 Ave C;New York;NY;East Village;Asian;$$;111 Loisaida Ave
Bar Americain;152 W 52nd St;New York;NY;Midtown West;American;$$$$;152 W 52nd St
Bar Boa;100 W 82nd Street;New York;NY;Upper West Side;Vietnamese;$$$$;100 W 82nd St
Bar Jamon;52 Irving Pl.;New York;NY;NY;Spanish;$$$;52 Irving Pl
Bar Martignetti;406 Broome St.;New York;NY;;;;406 Broome St
Bar Pitti;268 Sixth Avenue;New York;NY;Greenwich Village;Italian;$$;268 6th Ave
Baraonda;1439 Second Avenue;New York;NY;;;;1439 2nd Ave
Barbetta;321 W 46th Street;New York;NY;Midtown East;Italian;$$$;321 W 46th St
Barbounia;250 Park Ave South;New York;NY;Flatiron;Mediterranean;$$$$;250 Park Ave S
Barmarche;14 Spring St;New York;NY;NoLita;American;$$;14 Spring St
Barney Greengrass;541 Amsterdam Ave;New York;NY;Upper West Side;Deli;$;541 Amsterdam Ave
Barolo;398 West Broadway;New York;NY;SOHO;Italian;$$$;398 W Broadway
Basta Pasta;37 W 17th St;New York;NY;Flatiron;Italian;$$;37 W 17th St
Battery Gardens;Inside Battery Parkacross From 17 State St;New York;NY;Financial District;American;$$$;17 State St
Bay Leaf;49 W 56th Street;New York;NY;Midtown West;Indian;$$;49 W 56th St
Bb Sandwich Bar;120 W Third St;New York;NY;West Village;American;$;120 W 3rd St
Beacon;25 West 56th St (Between 5th & 6th Avenues);New York;NY;Midtown West;American;$$$$;25 W 56th St
Becco;355 W 46th St;New York;NY;Midtown West;Italian;$$$;355 W 46th St
Bellavitae;21 Minetta Ln;New York;NY;Greenwich Village;Italian;$$$;21 Minetta Ln
Bello;863 Ninth Ave;New York;NY;;;;863 9th Ave
Bello Sguardo;410 Amsterdam Ave;New York;NY;Upper West Side;Mediterranean;$$;410 Amsterdam Ave
Ben & Jack's Steak House;219 E 44th St;New York;NY;Midtown East;Steakhouse;$$$$;219 E 44th St
Ben's Kosher Deli;209 West 38th Street;New York;NY;Midtown West;Deli;$;209 W 38th St
Beppe;45 E 22nd St;New York;NY;Flatiron;Italian;$$$;45 E 22nd St
Bette;461 W 23rd St;New York;NY;Chelsea;European;$$$;461 W 23rd St
Bettola;412 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;412 Amsterdam Ave
Beyoglu;1431 Third Avenue;New York;NY;Upper East Side;Mediterranean;$$;1431 3rd Ave
Bianca;5 Bleecker St;New York;NY;NoLita;Italian;$$;5 Bleecker St
Big Nick's Burger Joint;2175 Broadway;New York;NY;Upper West Side;American;$;2175 Broadway
Big Wong;67 Mott St;New York;NY;;;;67 Mott St
Bistro Cassis;225 Columbus Ave;New York;NY;Upper West Side;French;$$;225 Columbus Ave
Bistro Citron;473 Columbus Ave.;New York;NY;;;;473 Columbus Ave
Bistro Les Amis;180 Spring St/Thompson;New York;NY;SOHO;French;$$;180 Spring St
Bistro Ten 18;1018 Amsterdam Ave;New York;NY;Upper West Side;American;$$;1018 Amsterdam Ave
Black Iron Burger Shop;540 E 5th St;New York;NY;East Village;American;$$$;540 E 5th St
Black Pearl;37 W. 26th Street;New York;NY;Chelsea;Seafood;$$;37 W 26th St
Blaue Gans;139 Duane Street;New York;NY;TriBeCa;German;$$$;139 Duane St
Blockheads Mexican Diner;954 Second Ave;New York;NY;Midtown West;Mexican;$;954 2nd Ave
Bloomingdale Road;2398 Broadway;New York;NY;;American;$$$;2398 Broadway
Blossom;187 Ninth Ave.;New York;NY;;Vegetarian;$$;187 9th Ave
Blue 9 Burger;92 3rd Ave;New York;NY;East Village;American;$;92 3rd Ave
Blue Fin;1567 Broadway at 47th;New York;NY;Midtown West;Seafood;$$$;1567 Broadway
Blue Hill;75 Washington Place;New York;NY;Greenwich Village;American;$$$$;75 Washington Pl
Blue Ribbon;97 Sullivan Street;New York;NY;SOHO;American;$$$;97 Sullivan St
Blue Ribbon Bakery;33 Downing Street;New York;NY;Greenwich Village;American;$$;33 Downing St
Blue Ribbon Sushi;119 Sullivan St;New York;NY;SOHO;Sushi;$$$;119 Sullivan St
Blue Smoke;116 E 27th St;New York;NY;Gramercy Park;Barbecue;$$;116 E 27th St
Blue Water Grill;31 Union Square West;New York;NY;Union Square;Seafood;$$$;31 Union Square W
Bluechili;251 W 51st St;New York;NY;Midtown West;Asian;$$;251 W 51st St
Bobby Van's Grill - 50th Street;135 W 50th St;New York;NY;Midtown West;Italian;$$$;135 W 50th St
Bobby Van's Steakhouse-54th Street;131 E 54th Street;New York;NY;Midtown East;Steakhouse;$$$;131 E 54th St
Bobby Van's Steakhouse-Park Avenue;230 Park Avenue;New York;NY;Midtown East;Steakhouse;$$$;230 Park Ave
Bobo;181 W. 10th St.;New York;NY;Greenwich Village;European;$$$$;181 W 10th St
Boca Chica;13 First Avenue;New York;NY;East Village;South American;$;13 1st Avenue
Boi;246 East 44th Street;New York;NY;Midtown East;Vietnamese;$$;246 E 44th St
Boi To Go;800 Second Ave;New York;NY;Midtown East;Vietnamese;$$;800 2nd Ave
Bolo;23 E 22nd St;New York;NY;Flatiron;Spanish;$$$$;23 E 22nd St
Bombay Grill;344 Lexington Ave;New York;NY;;Indian;$$;344 Lexington Ave
Bombay Palace;30 W 52nd St;New York;NY;Midtown West;Indian;$$;30 W 52nd St
Bombay Talkie;189 Ninth Ave;New York;NY;Chelsea;Indian;$$;189 9th Ave
Bond 45;154 W 45th St;New York;NY;Midtown West;Italian;$$$;154 W 45th St
Bondi Road;153 Rivington St.;New York;NY;;Australian;$$;153 Rivington St
Bondst;6 Bond Street;New York;NY;TriBeCa;Japanese;$$$$;6 Bond St
Boom;152 Spring Street;New York;NY;SOHO;Italian;$$;152 Spring St
Boqueria;53 W. 19th St.;New York;NY;;Spanish;$$$;53 W 19th St
Borgo Antico;22 E 13th St;New York;NY;East Village;Italian;$$$;22 E 13th St
Bottino;246 10th Ave;New York;NY;Chelsea;Italian;$$$;246 10th Ave
Bouley;120 West Broadway;New York;NY;TriBeCa;French;$$$$$;120 W Broadway
Bourbon Street Bar & Grille;346 W 46th Street;New York;NY;;Creole-Cajun;$$$$;346 W 46th St
Brasserie;100 East 53rd St;New York;NY;Midtown East;French;$$$;100 E 53rd St
Brasserie 8 1/2;9 W 57th St;New York;NY;Midtown West;French;$$$$;East River Realty Company
Brasserie Julien;1422 3rd Ave (Between 80th & 81st Streets);New York;NY;Upper East Side;French;$$;1420-1422 3rd Ave
Bread;20 Spring St;New York;NY;NoLita;American;$$;20 Spring St
Bricco Ristorante;304 W 56th St;New York;NY;;;;304 W 56th St
Brick Lane Curry;342 East 6th St;New York;NY;East Village;Indian;$;342 E 6th St
Bridge Cafe;279 Water St;New York;NY;Financial District;American;$$$;279 Water St
Bright Food Shop;218 Eighth Ave;New York;NY;Chelsea;Asian;$;218 8th Ave
Broadway East;171 East Broadway;New York;NY;Lower East Side;American;$$$;171 E Broadway
Broadway Joe Steakhouse;315 West 46th Street;New York;NY;Theater;Steakhouse;$$$;315 W 46th St
Brother Jimmy's Bbq;1461 1st Ave;New York;NY;Midtown East;Southern;$;1461 1st Avenue
Bubba Gump Shrimp Co.;1501 Broadway;New York;NY;Midtown West;American;$;1501 Broadway
Bubble Loung;228 W Broadway;New York;NY;TriBeCa;Small Plates;$$$;228 W Broadway
Bubby's;120 Hudson St;New York;NY;TriBeCa;American;$;120 Hudson St
Buddakan;75 Ninth Ave;New York;NY;Chelsea;Fusion;$$$$;75 9th Ave
Buddha BBeeQ;1750 Second Ave.;New York;NY;Upper East Side;Korean;$;1750 2nd Ave
Buddha Bar;25 Little West 12th Street;New York;NY;Meatpacking District;Asian;$$$$;25 Little W 12th St
Buenos Aires;513 E Sixth St;New York;NY;East Village;Argentinean;$$;513 E 6th St
Bukhara Grill;217 E 49th St;New York;NY;Midtown East;Indian;$$;217 E 49th St
Bull Run;52 William St;New York;NY;Financial District;American;$$$;52 William St
Burger Joint;190 Bleecker St;New York;NY;Gramercy Park;American;$;190 Bleecker St
Burritoville;352 W 39th St;New York;NY;Midtown West;Southwestern;$;352 W 39th St
Butai;115 E 18th St;New York;NY;Gramercy Park;Japanese;$$$;115 E 18th St
Butter;415 Lafayette St;New York;NY;East Village;American;$$$;415 Lafayette St
Cabana;89 S St Pier 17 Pavilion;New York;NY;Upper East Side;Nuevo Latino;$$;89 South St
Cabrito;50 Carmine St.;New York;NY;;Fusion;;50 Carmine St
Cacio E Pepe;182 Second Ave;New York;NY;East Village;Italian;$$;182 2nd Ave
Cafe Asean;117 West 10th Street;New York;NY;;;;117 W 10th St
Cafe Blossom;466 Columbus Ave;New York;NY;;;;466 Columbus Ave
Cafe Centro;200 Park Ave;New York;NY;Midtown East;Mediterranean;$$$;MetLife Building
Cafe Con Leche;726 Amsterdam Ave;New York;NY;Upper West Side;Cuban;$;726 Amsterdam Ave
Cafe De Bruxelles;118 Greenwich Ave;New York;NY;West Village;Belgian;$$;118 Greenwich Ave
Cafe Des Artistes;1 W 67th Street;New York;NY;Upper West Side;French;$$$;1 W 67th St
Cafe Du Soleil;2723 Broadway;New York;NY;Upper West Side;French;$$$;2723 Broadway
Cafe Espanol;172 Bleecker Street;New York;NY;Greenwich Village;American;$;172 Bleecker St
Cafe Frida;368 Columbus Ave;New York;NY;Upper West Side;Mexican;$$;368 Columbus Ave
Cafe Gitane;242 Mott St;New York;NY;NoLita;French;$;242 Mott St
Cafe Gray;10 Columbus Circle, 3rd Fl;New York;NY;Upper West Side;French;$$$$$;10 Columbus Cir 3rd Fl
Cafe Habana;229 Elizabeth St;New York;NY;NoLita;Cuban;$;229 Elizabeth St
Cafe Joul;1070 First Avenue;New York;NY;Midtown East;French;$$;1070 1st Avenue
Cafe Lalo;201 W 83rd St;New York;NY;Upper West Side;American;$;201 W 83rd St
Cafe Loup;105 W 13th St;New York;NY;Greenwich Village;French;$$$;105 W 13th St
Cafe Mogador;101 St Marks Pl;New York;NY;East Village;Moroccan;$;101 St Marks Pl
Cafe Ronda;249-251 Columbus Ave;New York;NY;Upper West Side;Mediterranean;$$;249 Columbus Ave
Cafe Rustico East;230 East 29th St.;New York;NY;Midtown East;Italian;$$$;230 E 29th St
Cafe Select;212 Lafayette Street;New York;NY;;International;$$$;212 Lafayette St
Cafe Spice;72 University Pl;New York;NY;;;;72 University Pl
Cafe St. Barts;Park Avenue @ 50th St.;New York;NY;Upper East Side;American;$$$;Park Ave & E 50th St
Cafe Un Deux Trois;123 W 44th St;New York;NY;Midtown West;French;$$$;123 W 44th St
Cafeteria;119 Seventh Avenue;New York;NY;Chelsea;American;$;119 7th Ave
Caffe Falai;68 Clinton St.;New York;NY;SOHO;Italian;$$;68 Clinton St
Café Boulud;20 East 76th St;New York;NY;Upper East Side;French;$$$$;20 E 76th St
Café Sabarsky;1048 Fifth Ave;New York;NY;Upper East Side;Austrian;$$;1048 5th Ave
Calle Ocho;446 Columbus Avenue;New York;NY;Upper West Side;Cuban;$$;446 Columbus Ave
Camaje;85 Macdougal St;New York;NY;Greenwich Village;American;$$;85 MacDougal St
Camino Sur;336 W 37th St;New York;NY;Midtown West;South American;$$$;336 W 37th St
Campagnola;1382 First Ave;New York;NY;Upper East Side;Italian;$$$$;1382 1st Avenue
Candela;Candela, 92 Second Avenue;New York;NY;East Village;Cuban;$$;92 2nd Ave
Candle 79;154 E 79 St;New York;NY;Upper East Side;Vegetarian;$$;154 E 79th St
Candle Cafe;1307 Third Avenue;New York;NY;Upper East Side;Vegetarian;$;1307 3rd Ave
Canyon Road;1470 First Avenue;New York;NY;Upper East Side;Southwestern;$$;1470 1st Avenue
Capital Grille;155 E 42nd St;New York;NY;Midtown East;Steakhouse;$$$$;155 E 42nd St
Caracas Arepa Bar;91 East 7th St;New York;NY;East Village;South American;$;91 E 7th St
Carmine's;2450 Broadway;New York;NY;Midtown West;Italian;$$;2450 Broadway
Carnegie Deli;854 7th Ave;New York;NY;Midtown West;Deli;$;854 7th Ave
Casa;72 Bedford St;New York;NY;West Village;South American;$$;72 Bedford St
Casa La Femme North;1076 First Ave;New York;NY;Midtown East;African;$$$;1076 1st Avenue
Casa Mono;125 East 17th;New York;NY;Gramercy Park;Spanish;$$$;125 E 17th St
Casimir;103-105 Ave B;New York;NY;East Village;French;$$;103 Avenue B
Caterina's;316 East 53rd Street;New York;NY;Midtown East;Hungarian;$$$;316 E 53rd St
Celeste;502 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;502 Amsterdam Ave
Cellini Restaurant;65 E 54th St;New York;NY;Midtown East;Italian;$$$;65 E 54th St
Cendrillon;45 Mercer St;New York;NY;SOHO;Southeast Asian;$$;45 Mercer St
Central Park Boathouse;Enter on E 72nd St;New York;NY;;;;Enter on E 72nd St
Cercle Rouge;241 W Broadway;New York;NY;TriBeCa;American;$$$;241 W Broadway
Chanterelle;2 Harrison St;New York;NY;TriBeCa;French;$$$$$;2 Harrison St
Charlie Palmer's Metrazur;East Balcony #4, 404 Grand Central Terminal, 42nd Street;New York;NY;Midtown East;American;$$$;89 E 42nd St
Chat 'N Chew;10 E 16th St;New York;NY;Union Square;American;$;10 E 16th St
Chemist Club Grill;Dylan Hotel;New York;NY;Midtown East;American;$$$;52 E 41st St
Chennai Garden;129 E 27 St;New York;NY;Gramercy Park;Indian;$;129 E 27th St
Chez Jacqueline;72 Macdougal St;New York;NY;Greenwich Village;French;$$$;72 MacDougal St
Chikalicious Dessert Bar;203 E 10th St;New York;NY;East Village;American;$;203 E 10th St
Chimichurri Grill;606 9th Avenue;New York;NY;Midtown West;South American;$$$;606 9th Ave
Chin Chin;216 E 49th St;New York;NY;Midtown East;Chinese;$$$;216 E 49th St
China Fun;246 Columbus Ave;New York;NY;Upper West Side;Chinese;$;246 Columbus Ave
China Grill;60 W 53rd St;New York;NY;Midtown West;Asian;$$$$;60 W 53rd St
China de Puebla;3143 Broadway;New York;NY;Harlem;Asian;;3143 Broadway
Chinatown Brasserie;380 Lafayette St;New York;NY;NoLita;Chinese;$$$;380 Lafayette St
Chino's;173 Third Ave;New York;NY;Gramercy Park;Asian;$;173 3rd Ave
Chipotle;100 Maiden Ln.;New York;NY;Financial District;Mexican;$;100 Maiden Ln
Chiyono;328 E. Sixth St.;New York;NY;;Japanese;$$;328 E 6th St
Cho Dang Gol;55 W 35th St;New York;NY;Midtown West;Korean;$;55 W 35th St
Chocolate Bar;48 8th Ave;New York;NY;Greenwich Village;Dessert;$$$;48 8th Ave
Chola;232 E 58th St;New York;NY;Midtown East;Indian;$$;232 E 58th St
Choshi Restaurant;77 Irving Pl;New York;NY;Greenwich Village;Japanese;$$;77 Irving Pl
Chow Bar;230 W Fourth St;New York;NY;West Village;Asian;$$;230 West 4th Street
Churrascaria Plataforma Ny;316 W 49th Street;New York;NY;Midtown West;South American;$$$;316 W 49th St
