;restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
0;'Cesca;164 W 75th St;New York;NY;Upper West Side;Italian;$$$;164 W 75th St
1;'Ino;21 Bedford St;New York;NY;Greenwich Village;Italian;$;21 Bedford St
2;'Inoteca;98 Rivington St;New York;NY;Lower East Side;Italian;$$;98 Rivington St
3;107 West;811 W 187th St;New York;NY;Harlem;Creole-Cajun;$$$;811 W 187th St
4;15 East;15 E. 15th Street;New York;NY;Union Square;Japanese;$$$$;E 15th St
5;2 Rivers Bar and ReStaurant;10 Murray St;New York;NY;;American;;10 Murray Street
6;2 West;2 West St;New York;NY;Financial District;American;$$$;2 West St
7;21 Club;21 W 52nd St;New York;NY;Midtown West;American;$$$;21 W 52nd St
8;26 Seats;168 Ave B;New York;NY;East Village;French;$$;168 Avenue B
9;44;44 W 44th Street;New York;NY;Midtown West;American;$$$;44 W 44th St
10;44 & X Hell's Kitchen;622 10th Ave;New York;NY;Midtown West;American;$$$;622 10th Ave
11;5 Napkin Burger;630 Ninth Ave;New York;NY;Hell's Kitchen;American;$$;630 9th Ave
12;5 Ninth;5 Ninth Ave;New York;NY;Meatpacking District;International;$$$;5 9th Ave
13;71 Irving Place;71 Irving Pl;New York;NY;Gramercy Park;American;$;71 Irving Pl
14;77493;1633 Broadway;New York;NY;Midtown West;American;$$;Paramount Plaza
15;A;947 Columbus Ave;New York;NY;Harlem;Caribbean;$;947 Columbus Ave
16;A Cafe;973 Columbus Avenue;New York;NY;Upper West Side;French;$$$;973 Columbus Ave
17;A Voce;41 Madison Ave;New York;NY;Gramercy Park;Italian;$$$$;Jerome Mansion
18;A.O.C.;314 Bleecker St;New York;NY;West Village;French;$$;314 Bleecker St
19;A.O.C. Bedford;14 Bedford St;New York;NY;Greenwich Village;French;$$$;14 Bedford St
20;Abboccato;136 W 55th St;New York;NY;Midtown West;Italian;$$$$;136 W 55th St
21;Acqua;718 Amsterdam Ave.;New York;NY;;Italian;$$$$;718 Amsterdam Ave
22;Ada;208 E 58th Street;New York;NY;Midtown East;Indian;$$$;208 E 58th St
23;Agave;140 7th Ave South;New York;NY;Greenwich Village;Southwestern;$$;140 7th Ave S
24;Aix Brasserie;2398 Broadway;New York;NY;Upper West Side;French;$$$$;2398 Broadway
25;Aj Maxwell's - Steakhouse;57 West 48th Street;New York;NY;Midtown West;Steakhouse;$$$$;57 W 48th St
26;Akdeniz;19 W 46th St;New York;NY;Midtown West;Mediterranean;$;19 W 46th St
27;Aki;181 W Fourth St;New York;NY;Greenwich Village;Caribbean;$$$;181 West 4th Street
28;Al Bustan Restaurant;827 Third Ave;New York;NY;Midtown East;Middle Eastern;$$$;827 3rd Ave
29;Alexandra;455 Hudson St;New York;NY;West Village;American;$$;455 Hudson St
30;Alfama;551 Hudson St;New York;NY;Greenwich Village;Portuguese;$$;551 Hudson St
31;Alfredo Of Rome;4 W 49th St;New York;NY;;;;4 W 49th St
32;Ali Baba;206 E 34th St;New York;NY;Murray Hill;Turkish;$;206 E 34th St
33;Alias;76 Clinton St;New York;NY;Lower East Side;American;$$$;76 Clinton St
34;Alice's Tea Cup;102 West. 73 st;New York;NY;Upper West Side;American;$;102 W 73rd St
35;Allegretti;46 West 22nd St;New York;NY;Flatiron;French;$$$$;46 W 22nd St
36;Allen & Delancey;115 Allen St;New York;NY;Lower East Side;American;$$$;115 Allen St
37;Almond;12 E 22nd Street;New York;NY;Flatiron;French;$$$$$;12 E 22nd St
38;Alonso's Steakhouse;265 West 20th St;New York;NY;Chelsea;Steakhouse;$$$;265 W 20th St
39;Alouette;2588 Broadway;New York;NY;Upper West Side;French;$$$;2588 Broadway
40;Alta;64 West 10th Street;New York;NY;Greenwich Village;Mediterranean;$$$;64 W 10th St
41;Alto;520 Madison Ave;New York;NY;Midtown East;Italian;$$$$$;520 Madison Ave
42;Amalia;;New York;NY;Midtown West;Mediterranean;$$$$;
43;Amaranth;21 E. 62nd St.;New York;NY;;Mediterranean;$$$;21 E 62nd St
44;Amazing 66;66 Mott Street;New York;NY;Chinatown;Chinese;$$;66 Mott St
45;Ambassador Grill and Lounge;1 United Nations Plaza;New York;NY;Midtown East;International;$$$;1 United Nations Plaza
46;Amber;1406 Third Ave.;New York;NY;;Pan-Asian;$$;1406 3rd Ave
47;Amma;246 E 51st St;New York;NY;Midtown East;Indian;$$$$;246 E 51st St
48;Ammos Estiatorio;52 Vanderbilt Ave;New York;NY;Midtown East;Greek;$$$;52 Vanderbilt Ave
49;Amy Ruth's;113 W 116th St;New York;NY;Harlem;Southern;$;113 W 116th St
50;Amy's Bread;75 Ninth Ave;New York;NY;Midtown West;American;$;75 9th Ave
51;Angelica Kitchen;300 E 12th St;New York;NY;East Village;Vegetarian;$;300 E 12th St
52;Angelo & Maxies Steakhouse;233 Park Ave South (19th St);New York;NY;Midtown West;Steakhouse;$$$;233 Park Ave S
53;Angelo's Of Mulberry Street;146 Mulberry St Fl 1;New York;NY;Little Italy;Italian;$$$;146 Mulberry St Fl 1
54;Angon on The Sixth;320 E Sixth St;New York;NY;East Village;Indian;$;320 E 6th St
55;Annisa;13 Barrow Street;New York;NY;Greenwich Village;American;$$$$$;13 Barrow St
56;Anthos;36 W 52nd St;New York;NY;Midtown West;Mediterranean;$$$$;36 W 52nd St
57;Apiary;60 Third Ave.;New York;NY;East Village;American;$$$$;60 3rd Ave
58;Apizz;217 Eldridge St;New York;NY;Lower East Side;Italian;$$$;217 Eldridge St
59;Aq Cafe;58 Park Ave;New York;NY;Murray Hill;Scandinavian;$;58 Park Ave
60;Aquagrill;210 Spring St;New York;NY;SOHO;Seafood;$$$$;210 Spring St
61;Aquavit;65 East 55th Street;New York;NY;Midtown West;Scandinavian;$$$$;65 E 55th St
62;Arezzo;46 W 22nd St;New York;NY;Flatiron;Italian;$$$;46 W 22nd St
63;Aroma;36 E Fourth St;New York;NY;NoLita;Italian;$$;36 E 4th St
64;Arqua;281 Church Street;New York;NY;TriBeCa;Italian;$$$;281 Church St
65;Arriba Arriba!;1463 Third Ave;New York;NY;Upper East Side;American;$;1463 3rd Ave
66;Arte Cafe;106 W 73rd St;New York;NY;Upper West Side;Italian;$$;106 W 73rd St
67;Artichoke;328 E 14th St;New York;NY;East Village;Pizza;$$;328 E 14th St
68;Artie's Deli;2290 Broadway;New York;NY;;;;2290 Broadway
69;Artisanal;2 Park Avenue;New York;NY;Lower East Side;French;$$$;2 Park Ave
70;Arturo's Restaurants;106 W Houston St;New York;NY;Greenwich Village;Italian;$;106 W Houston St
71;Asia De Cuba;237 Madison Ave;New York;NY;Murray Hill;Asian;$$$$;237 Madison Ave
72;Asiakan;710 Amsterdam Ave.;New York;NY;Upper West Side;Pan-Asian;$;710 Amsterdam Ave
73;Asiate;80 Columbus Cir at 60th Street;New York;NY;Upper West Side;French;$$$$;80 Columbus Cir
74;Aspen;30 W 22nd St;New York;NY;;;;30 W 22nd St
75;Aspen Social Club;157 W 47th St;New York;NY;Midtown West;American;$$$$;157 W 47th St
76;Atlantic Grill;1341 Third Ave;New York;NY;Upper East Side;Seafood;$$$;1341 3rd Ave
77;Atnhos;36 W. 52nd Street;New York;NY;;Greek;$$$$;36 W 52nd St
78;Au Mandarin;200-250 Vesey St;New York;NY;Financial District;Chinese;$$;200 Vesey St
79;August;359 Bleecker St;New York;NY;West Village;European;$$$;359 Bleecker St
80;Aureole;34 E 61st St (Between Park and Madison);New York;NY;Midtown East;American;$$$$$;34 E 61st St (Between Park and Madison)
81;Aurora;51 Broome St.;New York;NY;SOHO;Italian;$$;51 Broome St
82;Avra Estiatorio;141 E 48th St;New York;NY;Midtown East;Greek;$$$$;141 E 48th St
83;Awash;947 Amsterdam Ave.;New York;NY;;Ethiopian;;947 Amsterdam Ave
84;Azafran;77 Warren St;New York;NY;TriBeCa;Spanish;$$$;77 Warren St
85;Azucar;939 Eighth Avenue;New York;NY;Midtown West;Cuban;$$;939 8th Ave
86;Azuri Cafe;465 W 51st St;New York;NY;Midtown West;Jewish;$;465 W 51st St
87;Azza;137 E. 55th Street;New York;NY;Midtown East;Moroccan;$$$$;137 E 55th St
88;B. Smith's Restaurant Row;320 West 46th St;New York;NY;Midtown West;Southern;$$$;320 W 46th St
89;BLT Fish;21 W 17th St;New York;NY;Flatiron;Seafood;$$;21 W 17th St
90;BLT Prime;111 East 22nd Street;New York;NY;Gramercy Park;American;$$$$;111 E 22nd St
91;BLT Steak;106 E 57th St;New York;NY;Midtown East;Steakhouse;$$$$$;106 E 57th St
92;Babbo;110 Waverly Pl;New York;NY;Greenwich Village;Italian;$$$$;110 Waverly Pl
93;Baldoria;249 West 49th Street;New York;NY;Midtown West;Italian;$$$$;249 W 49th St
94;Bali Nusa Indah Restaurant Inc;651 9th Ave;New York;NY;;Indonesian;;651 9th Ave
95;Balthazar;80 Spring Street;New York;NY;SOHO;French;$$$;80 Spring St
96;Banjara;97 First Ave;New York;NY;East Village;Indian;$$;97 1st Avenue
97;Bann;350 W 50th St;New York;NY;Theater;Korean;$$$;350 W 50th St
98;Bao 111;111 Ave C;New York;NY;East Village;Asian;$$;111 Loisaida Ave
99;Bar Americain;152 W 52nd St;New York;NY;Midtown West;American;$$$$;152 W 52nd St
100;Bar Boa;100 W 82nd Street;New York;NY;Upper West Side;Vietnamese;$$$$;100 W 82nd St
101;Bar Jamon;52 Irving Pl.;New York;NY;NY;Spanish;$$$;52 Irving Pl
102;Bar Martignetti;406 Broome St.;New York;NY;;;;406 Broome St
103;Bar Pitti;268 Sixth Avenue;New York;NY;Greenwich Village;Italian;$$;268 6th Ave
104;Baraonda;1439 Second Avenue;New York;NY;;;;1439 2nd Ave
105;Barbetta;321 W 46th Street;New York;NY;Midtown East;Italian;$$$;321 W 46th St
106;Barbounia;250 Park Ave South;New York;NY;Flatiron;Mediterranean;$$$$;250 Park Ave S
107;Barmarche;14 Spring St;New York;NY;NoLita;American;$$;14 Spring St
108;Barney Greengrass;541 Amsterdam Ave;New York;NY;Upper West Side;Deli;$;541 Amsterdam Ave
109;Barolo;398 West Broadway;New York;NY;SOHO;Italian;$$$;398 W Broadway
110;Basta Pasta;37 W 17th St;New York;NY;Flatiron;Italian;$$;37 W 17th St
111;Battery Gardens;Inside Battery Parkacross From 17 State St;New York;NY;Financial District;American;$$$;17 State St
112;Bay Leaf;49 W 56th Street;New York;NY;Midtown West;Indian;$$;49 W 56th St
113;Bb Sandwich Bar;120 W Third St;New York;NY;West Village;American;$;120 W 3rd St
114;Beacon;25 West 56th St (Between 5th & 6th Avenues);New York;NY;Midtown West;American;$$$$;25 W 56th St
115;Becco;355 W 46th St;New York;NY;Midtown West;Italian;$$$;355 W 46th St
116;Bellavitae;21 Minetta Ln;New York;NY;Greenwich Village;Italian;$$$;21 Minetta Ln
117;Bello;863 Ninth Ave;New York;NY;;;;863 9th Ave
118;Bello Sguardo;410 Amsterdam Ave;New York;NY;Upper West Side;Mediterranean;$$;410 Amsterdam Ave
119;Ben & Jack's Steak House;219 E 44th St;New York;NY;Midtown East;Steakhouse;$$$$;219 E 44th St
120;Ben's Kosher Deli;209 West 38th Street;New York;NY;Midtown West;Deli;$;209 W 38th St
121;Beppe;45 E 22nd St;New York;NY;Flatiron;Italian;$$$;45 E 22nd St
122;Bette;461 W 23rd St;New York;NY;Chelsea;European;$$$;461 W 23rd St
123;Bettola;412 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;412 Amsterdam Ave
124;Beyoglu;1431 Third Avenue;New York;NY;Upper East Side;Mediterranean;$$;1431 3rd Ave
125;Bianca;5 Bleecker St;New York;NY;NoLita;Italian;$$;5 Bleecker St
126;Big Nick's Burger Joint;2175 Broadway;New York;NY;Upper West Side;American;$;2175 Broadway
127;Big Wong;67 Mott St;New York;NY;;;;67 Mott St
128;Bistro Cassis;225 Columbus Ave;New York;NY;Upper West Side;French;$$;225 Columbus Ave
129;Bistro Citron;473 Columbus Ave.;New York;NY;;;;473 Columbus Ave
130;Bistro Les Amis;180 Spring St/Thompson;New York;NY;SOHO;French;$$;180 Spring St
131;Bistro Ten 18;1018 Amsterdam Ave;New York;NY;Upper West Side;American;$$;1018 Amsterdam Ave
132;Black Iron Burger Shop;540 E 5th St;New York;NY;East Village;American;$$$;540 E 5th St
133;Black Pearl;37 W. 26th Street;New York;NY;Chelsea;Seafood;$$;37 W 26th St
134;Blaue Gans;139 Duane Street;New York;NY;TriBeCa;German;$$$;139 Duane St
135;Blockheads Mexican Diner;954 Second Ave;New York;NY;Midtown West;Mexican;$;954 2nd Ave
136;Bloomingdale Road;2398 Broadway;New York;NY;;American;$$$;2398 Broadway
137;Blossom;187 Ninth Ave.;New York;NY;;Vegetarian;$$;187 9th Ave
138;Blue 9 Burger;92 3rd Ave;New York;NY;East Village;American;$;92 3rd Ave
139;Blue Fin;1567 Broadway at 47th;New York;NY;Midtown West;Seafood;$$$;1567 Broadway
140;Blue Hill;75 Washington Place;New York;NY;Greenwich Village;American;$$$$;75 Washington Pl
141;Blue Ribbon;97 Sullivan Street;New York;NY;SOHO;American;$$$;97 Sullivan St
142;Blue Ribbon Bakery;33 Downing Street;New York;NY;Greenwich Village;American;$$;33 Downing St
143;Blue Ribbon Sushi;119 Sullivan St;New York;NY;SOHO;Sushi;$$$;119 Sullivan St
144;Blue Smoke;116 E 27th St;New York;NY;Gramercy Park;Barbecue;$$;116 E 27th St
145;Blue Water Grill;31 Union Square West;New York;NY;Union Square;Seafood;$$$;31 Union Square W
146;Bluechili;251 W 51st St;New York;NY;Midtown West;Asian;$$;251 W 51st St
147;Bobby Van's Grill - 50th Street;135 W 50th St;New York;NY;Midtown West;Italian;$$$;135 W 50th St
148;Bobby Van's Steakhouse-54th Street;131 E 54th Street;New York;NY;Midtown East;Steakhouse;$$$;131 E 54th St
149;Bobby Van's Steakhouse-Park Avenue;230 Park Avenue;New York;NY;Midtown East;Steakhouse;$$$;The Helmsley Building
150;Bobo;181 W. 10th St.;New York;NY;Greenwich Village;European;$$$$;181 W 10th St
151;Boca Chica;13 First Avenue;New York;NY;East Village;South American;$;13 1st Avenue
152;Boi;246 East 44th Street;New York;NY;Midtown East;Vietnamese;$$;246 E 44th St
153;Boi To Go;800 Second Ave;New York;NY;Midtown East;Vietnamese;$$;800 2nd Ave
154;Bolo;23 E 22nd St;New York;NY;Flatiron;Spanish;$$$$;23 E 22nd St
155;Bombay Grill;344 Lexington Ave;New York;NY;;Indian;$$;344 Lexington Ave
156;Bombay Palace;30 W 52nd St;New York;NY;Midtown West;Indian;$$;30 W 52nd St
157;Bombay Talkie;189 Ninth Ave;New York;NY;Chelsea;Indian;$$;189 9th Ave
158;Bond 45;154 W 45th St;New York;NY;Midtown West;Italian;$$$;154 W 45th St
159;Bondi Road;153 Rivington St.;New York;NY;;Australian;$$;153 Rivington St
160;Bondst;6 Bond Street;New York;NY;TriBeCa;Japanese;$$$$;6 Bond St
161;Boom;152 Spring Street;New York;NY;SOHO;Italian;$$;152 Spring St
162;Boqueria;53 W. 19th St.;New York;NY;;Spanish;$$$;53 W 19th St
163;Borgo Antico;22 E 13th St;New York;NY;East Village;Italian;$$$;22 E 13th St
164;Bottino;246 10th Ave;New York;NY;Chelsea;Italian;$$$;246 10th Ave
165;Bouley;120 West Broadway;New York;NY;TriBeCa;French;$$$$$;120 W Broadway
166;Bourbon Street Bar & Grille;346 W 46th Street;New York;NY;;Creole-Cajun;$$$$;346 W 46th St
167;Brasserie;100 East 53rd St;New York;NY;Midtown East;French;$$$;100 E 53rd St
168;Brasserie 8 1/2;9 W 57th St;New York;NY;Midtown West;French;$$$$;East River Realty Company
169;Brasserie Julien;1422 3rd Ave (Between 80th & 81st Streets);New York;NY;Upper East Side;French;$$;1420-1422 3rd Ave
170;Bread;20 Spring St;New York;NY;NoLita;American;$$;20 Spring St
171;Bricco Ristorante;304 W 56th St;New York;NY;;;;304 W 56th St
172;Brick Lane Curry;342 East 6th St;New York;NY;East Village;Indian;$;342 E 6th St
173;Bridge Cafe;279 Water St;New York;NY;Financial District;American;$$$;279 Water St
174;Bright Food Shop;218 Eighth Ave;New York;NY;Chelsea;Asian;$;218 8th Ave
175;Broadway East;171 East Broadway;New York;NY;Lower East Side;American;$$$;171 E Broadway
176;Broadway Joe Steakhouse;315 West 46th Street;New York;NY;Theater;Steakhouse;$$$;315 W 46th St
177;Brother Jimmy's Bbq;1461 1st Ave;New York;NY;Midtown East;Southern;$;1461 1st Avenue
178;Bubba Gump Shrimp Co.;1501 Broadway;New York;NY;Midtown West;American;$;1501 Broadway
179;Bubble Loung;228 W Broadway;New York;NY;TriBeCa;Small Plates;$$$;228 W Broadway
180;Bubby's;120 Hudson St;New York;NY;TriBeCa;American;$;120 Hudson St
181;Buddakan;75 Ninth Ave;New York;NY;Chelsea;Fusion;$$$$;75 9th Ave
182;Buddha BBeeQ;1750 Second Ave.;New York;NY;Upper East Side;Korean;$;1750 2nd Ave
183;Buddha Bar;25 Little West 12th Street;New York;NY;Meatpacking District;Asian;$$$$;25 Little W 12th St
184;Buenos Aires;513 E Sixth St;New York;NY;East Village;Argentinean;$$;513 E 6th St
185;Bukhara Grill;217 E 49th St;New York;NY;Midtown East;Indian;$$;217 E 49th St
186;Bull Run;52 William St;New York;NY;Financial District;American;$$$;52 William St
187;Burger Joint;190 Bleecker St;New York;NY;Gramercy Park;American;$;190 Bleecker St
188;Burritoville;352 W 39th St;New York;NY;Midtown West;Southwestern;$;352 W 39th St
189;Butai;115 E 18th St;New York;NY;Gramercy Park;Japanese;$$$;115 E 18th St
190;Butter;415 Lafayette St;New York;NY;East Village;American;$$$;415 Lafayette St
191;Cabana;89 S St Pier 17 Pavilion;New York;NY;Upper East Side;Nuevo Latino;$$;89 South St
192;Cabrito;50 Carmine St.;New York;NY;;Fusion;;50 Carmine St
193;Cacio E Pepe;182 Second Ave;New York;NY;East Village;Italian;$$;182 2nd Ave
194;Cafe Asean;117 West 10th Street;New York;NY;;;;117 W 10th St
195;Cafe Blossom;466 Columbus Ave;New York;NY;;;;466 Columbus Ave
196;Cafe Centro;200 Park Ave;New York;NY;Midtown East;Mediterranean;$$$;MetLife Building
197;Cafe Con Leche;726 Amsterdam Ave;New York;NY;Upper West Side;Cuban;$;726 Amsterdam Ave
198;Cafe De Bruxelles;118 Greenwich Ave;New York;NY;West Village;Belgian;$$;118 Greenwich Ave
199;Cafe Des Artistes;1 W 67th Street;New York;NY;Upper West Side;French;$$$;1 W 67th St
200;Cafe Du Soleil;2723 Broadway;New York;NY;Upper West Side;French;$$$;2723 Broadway
201;Cafe Espanol;172 Bleecker Street;New York;NY;Greenwich Village;American;$;172 Bleecker St
202;Cafe Frida;368 Columbus Ave;New York;NY;Upper West Side;Mexican;$$;368 Columbus Ave
203;Cafe Gitane;242 Mott St;New York;NY;NoLita;French;$;242 Mott St
204;Cafe Gray;10 Columbus Circle, 3rd Fl;New York;NY;Upper West Side;French;$$$$$;10 Columbus Cir 3rd Fl
205;Cafe Habana;229 Elizabeth St;New York;NY;NoLita;Cuban;$;229 Elizabeth St
206;Cafe Joul;1070 First Avenue;New York;NY;Midtown East;French;$$;1070 1st Avenue
207;Cafe Lalo;201 W 83rd St;New York;NY;Upper West Side;American;$;201 W 83rd St
208;Cafe Loup;105 W 13th St;New York;NY;Greenwich Village;French;$$$;105 W 13th St
209;Cafe Mogador;101 St Marks Pl;New York;NY;East Village;Moroccan;$;101 St Marks Pl
210;Cafe Ronda;249-251 Columbus Ave;New York;NY;Upper West Side;Mediterranean;$$;249 Columbus Ave
211;Cafe Rustico East;230 East 29th St.;New York;NY;Midtown East;Italian;$$$;230 E 29th St
212;Cafe Select;212 Lafayette Street;New York;NY;;International;$$$;212 Lafayette St
213;Cafe Spice;72 University Pl;New York;NY;;;;72 University Pl
214;Cafe St. Barts;Park Avenue @ 50th St.;New York;NY;Upper East Side;American;$$$;Park Ave & E 50th St
215;Cafe Un Deux Trois;123 W 44th St;New York;NY;Midtown West;French;$$$;123 W 44th St
216;Cafeteria;119 Seventh Avenue;New York;NY;Chelsea;American;$;119 7th Ave
217;Caffe Falai;68 Clinton St.;New York;NY;SOHO;Italian;$$;68 Clinton St
218;Café Boulud;20 East 76th St;New York;NY;Upper East Side;French;$$$$;20 E 76th St
219;Café Sabarsky;1048 Fifth Ave;New York;NY;Upper East Side;Austrian;$$;1048 5th Ave
220;Calle Ocho;446 Columbus Avenue;New York;NY;Upper West Side;Cuban;$$;446 Columbus Ave
221;Camaje;85 Macdougal St;New York;NY;Greenwich Village;American;$$;85 MacDougal St
222;Camino Sur;336 W 37th St;New York;NY;Midtown West;South American;$$$;336 W 37th St
223;Campagnola;1382 First Ave;New York;NY;Upper East Side;Italian;$$$$;1382 1st Avenue
224;Candela;Candela, 92 Second Avenue;New York;NY;East Village;Cuban;$$;92 2nd Ave
225;Candle 79;154 E 79 St;New York;NY;Upper East Side;Vegetarian;$$;154 E 79th St
226;Candle Cafe;1307 Third Avenue;New York;NY;Upper East Side;Vegetarian;$;1307 3rd Ave
227;Canyon Road;1470 First Avenue;New York;NY;Upper East Side;Southwestern;$$;1470 1st Avenue
228;Capital Grille;155 E 42nd St;New York;NY;Midtown East;Steakhouse;$$$$;155 E 42nd St
229;Caracas Arepa Bar;91 East 7th St;New York;NY;East Village;South American;$;1/2
230;Carmine's;2450 Broadway;New York;NY;Midtown West;Italian;$$;2450 Broadway
231;Carnegie Deli;854 7th Ave;New York;NY;Midtown West;Deli;$;854 7th Ave
232;Casa;72 Bedford St;New York;NY;West Village;South American;$$;72 Bedford St
233;Casa La Femme North;1076 First Ave;New York;NY;Midtown East;African;$$$;1076 1st Avenue
234;Casa Mono;125 East 17th;New York;NY;Gramercy Park;Spanish;$$$;125 E 17th St
235;Casimir;103-105 Ave B;New York;NY;East Village;French;$$;103 Avenue B
236;Caterina's;316 East 53rd Street;New York;NY;Midtown East;Hungarian;$$$;316 E 53rd St
237;Celeste;502 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;502 Amsterdam Ave
238;Cellini Restaurant;65 E 54th St;New York;NY;Midtown East;Italian;$$$;65 E 54th St
239;Cendrillon;45 Mercer St;New York;NY;SOHO;Southeast Asian;$$;45 Mercer St
240;Central Park Boathouse;Enter on E 72nd St;New York;NY;;;;Enter on E 72nd St
241;Cercle Rouge;241 W Broadway;New York;NY;TriBeCa;American;$$$;241 W Broadway
242;Chanterelle;2 Harrison St;New York;NY;TriBeCa;French;$$$$$;2 Harrison St
243;Charlie Palmer's Metrazur;East Balcony #4, 404 Grand Central Terminal, 42nd Street;New York;NY;Midtown East;American;$$$;89 E 42nd St
244;Chat 'N Chew;10 E 16th St;New York;NY;Union Square;American;$;10 E 16th St
245;Chemist Club Grill;Dylan Hotel;New York;NY;Midtown East;American;$$$;52 E 41st St
246;Chennai Garden;129 E 27 St;New York;NY;Gramercy Park;Indian;$;129 E 27th St
247;Chez Jacqueline;72 Macdougal St;New York;NY;Greenwich Village;French;$$$;72 MacDougal St
248;Chikalicious Dessert Bar;203 E 10th St;New York;NY;East Village;American;$;203 E 10th St
249;Chimichurri Grill;606 9th Avenue;New York;NY;Midtown West;South American;$$$;606 9th Ave
250;Chin Chin;216 E 49th St;New York;NY;Midtown East;Chinese;$$$;216 E 49th St
251;China Fun;246 Columbus Ave;New York;NY;Upper West Side;Chinese;$;246 Columbus Ave
252;China Grill;60 W 53rd St;New York;NY;Midtown West;Asian;$$$$;60 W 53rd St
253;China de Puebla;3143 Broadway;New York;NY;Harlem;Asian;;3143 Broadway
254;Chinatown Brasserie;380 Lafayette St;New York;NY;NoLita;Chinese;$$$;380 Lafayette St
255;Chino's;173 Third Ave;New York;NY;Gramercy Park;Asian;$;173 3rd Ave
256;Chipotle;100 Maiden Ln.;New York;NY;Financial District;Mexican;$;100 Maiden Ln
257;Chiyono;328 E. Sixth St.;New York;NY;;Japanese;$$;328 E 6th St
258;Cho Dang Gol;55 W 35th St;New York;NY;Midtown West;Korean;$;55 W 35th St
259;Chocolate Bar;48 8th Ave;New York;NY;Greenwich Village;Dessert;$$$;48 8th Ave
260;Chola;232 E 58th St;New York;NY;Midtown East;Indian;$$;232 E 58th St
261;Choshi Restaurant;77 Irving Pl;New York;NY;Greenwich Village;Japanese;$$;77 Irving Pl
262;Chow Bar;230 W Fourth St;New York;NY;West Village;Asian;$$;230 West 4th Street
263;Churrascaria Plataforma Ny;316 W 49th Street;New York;NY;Midtown West;South American;$$$;316 W 49th St
264;Cibo;767 Second Avenue;New York;NY;Midtown East;American;$$$;767 2nd Ave
265;Cilantro;1712 2nd Ave;New York;NY;Upper East Side;Southwestern;$;1712 2nd Ave
